period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.75,34.43,29.37,39.81,20.77,0.8,45.44,Punido
2008-02-01,7.75,34.43,31.68,41.79,21.69,0.09,30.48,Punido
2008-03-01,7.75,34.43,33.08,43.3,23.63,1.0,35.5,Punido
2008-04-01,7.75,34.43,29.28,39.66,22.47,2.99,59.96,Punido
2008-05-01,7.75,34.43,27.04,37.44,21.19,6.36,72.18,Punido
2008-06-01,7.75,34.43,25.18,33.54,20.35,5.65,77.7,Punido
2008-07-01,7.75,34.43,24.71,31.6,19.02,5.48,79.18,Punido
2008-08-01,7.75,34.43,24.95,31.36,18.56,5.65,79.28,Punido
2008-09-01,7.75,34.43,25.79,32.44,19.94,5.49,78.39,Punido
2008-10-01,7.75,34.43,26.14,33.4,20.32,5.1,76.52,Punido
2008-11-01,7.75,34.43,27.06,37.86,19.17,1.41,63.08,Punido
2008-12-01,7.75,34.43,29.37,39.02,20.79,0.2,47.74,Punido
2009-01-01,7.75,34.43,30.28,39.9,21.84,0.73,42.61,Punido
2009-02-01,7.75,34.43,31.94,42.01,23.57,0.49,37.78,Punido
2009-03-01,7.75,34.43,32.05,42.64,23.19,1.1,40.98,Punido
2009-04-01,7.75,34.43,28.73,39.57,21.75,5.34,66.39,Punido
2009-05-01,7.75,34.43,28.43,38.6,21.84,2.42,66.32,Punido
2009-06-01,7.75,34.43,27.25,37.7,19.39,3.75,69.24,Punido
2009-07-01,7.75,34.43,26.01,34.71,19.84,3.84,71.08,Punido
2009-08-01,7.75,34.43,26.5,35.46,19.26,4.11,71.18,Punido
2009-09-01,7.75,34.43,26.72,35.55,21.33,6.0,73.26,Punido
2009-10-01,7.75,34.43,27.0,34.83,20.63,4.52,71.05,Punido
2009-11-01,7.75,34.43,28.64,38.71,19.31,0.94,53.26,Punido
2009-12-01,7.75,34.43,29.39,39.18,20.72,0.62,49.61,Punido
2010-01-01,7.75,34.43,31.1,40.67,20.72,0.46,35.75,Punido
2010-02-01,7.75,34.43,32.83,43.34,22.1,0.18,31.6,Punido
2010-03-01,7.75,34.43,32.96,43.87,22.35,0.54,33.34,Punido
2010-04-01,7.75,34.43,32.77,43.18,24.42,1.77,46.27,Punido
2010-05-01,7.75,34.43,27.13,35.29,21.97,6.65,76.39,Punido
2010-06-01,7.75,34.43,25.64,33.23,20.76,6.47,78.71,Punido
2010-07-01,7.75,34.43,24.79,31.82,20.24,5.23,80.73,Punido
2010-08-01,7.75,34.43,25.54,31.71,20.9,5.32,78.84,Punido
2010-09-01,7.75,34.43,25.49,31.79,20.31,5.92,78.65,Punido
2010-10-01,7.75,34.43,26.72,34.32,21.16,4.5,74.61,Punido
2010-11-01,7.75,34.43,27.37,36.93,19.76,1.59,61.71,Punido
2010-12-01,7.75,34.43,28.83,38.91,20.07,0.52,49.91,Punido
2011-01-01,7.75,34.43,30.02,39.49,20.21,0.44,39.81,Punido
2011-02-01,7.75,34.43,32.6,42.43,20.36,0.13,26.15,Punido
2011-03-01,7.75,34.43,32.7,42.27,24.23,0.75,36.57,Punido
2011-04-01,7.75,34.43,30.72,41.92,21.94,2.5,53.79,Punido
2011-05-01,7.75,34.43,28.55,41.72,21.36,4.86,64.58,Punido
2011-06-01,7.75,34.43,25.63,33.54,20.77,5.0,78.81,Punido
2011-07-01,7.75,34.43,25.32,33.02,20.24,3.41,76.66,Punido
2011-08-01,7.75,34.43,25.6,34.1,20.26,3.52,74.91,Punido
2011-09-01,7.75,34.43,26.32,35.57,20.59,3.22,72.96,Punido
2011-10-01,7.75,34.43,26.83,35.5,20.95,6.67,73.35,Punido
2011-11-01,7.75,34.43,26.68,34.78,17.67,3.3,68.84,Punido
2011-12-01,7.75,34.43,28.58,39.02,18.63,0.37,51.78,Punido
2012-01-01,7.75,34.43,30.09,40.09,20.63,0.13,32.14,Punido
2012-02-01,7.75,34.43,32.42,42.29,22.36,0.0,24.39,Punido
2012-03-01,7.75,34.43,33.29,43.39,23.79,0.48,29.57,Punido
2012-04-01,7.75,34.43,30.88,42.69,22.43,2.31,50.89,Punido
2012-05-01,7.75,34.43,26.14,38.64,21.38,8.44,79.15,Punido
2012-06-01,7.75,34.43,25.05,31.67,20.51,2.93,80.04,Punido
2012-07-01,7.75,34.43,24.36,30.43,19.46,6.07,83.05,Punido
2012-08-01,7.75,34.43,24.78,29.93,18.84,7.94,81.88,Punido
2012-09-01,7.75,34.43,24.93,30.95,20.4,7.36,81.13,Punido
2012-10-01,7.75,34.43,26.14,32.16,18.37,4.59,77.45,Punido
2012-11-01,7.75,34.43,26.42,33.46,20.47,1.95,73.89,Punido
2012-12-01,7.75,34.43,27.41,36.44,19.66,1.8,63.29,Punido
2013-01-01,7.75,34.43,29.36,40.09,20.58,0.6,51.03,Punido
2013-02-01,7.75,34.43,32.06,43.14,21.9,0.29,36.51,Punido
2013-03-01,7.75,34.43,33.2,43.18,22.72,0.73,36.99,Punido
2013-04-01,7.75,34.43,30.92,42.16,23.19,2.49,52.44,Punido
2013-05-01,7.75,34.43,25.66,33.7,19.94,10.81,79.58,Punido
2013-06-01,7.75,34.43,24.74,30.91,20.19,5.52,81.79,Punido
2013-07-01,7.75,34.43,24.46,29.83,19.37,6.86,82.09,Punido
2013-08-01,7.75,34.43,24.48,30.3,19.6,4.44,81.13,Punido
2013-09-01,7.75,34.43,25.36,31.14,19.81,5.91,80.87,Punido
2013-10-01,7.75,34.43,25.77,32.49,20.43,5.35,78.01,Punido
2013-11-01,7.75,34.43,26.01,32.78,19.73,3.62,76.28,Punido
2013-12-01,7.75,34.43,26.92,37.41,16.23,0.32,56.96,Punido
2014-01-01,7.75,34.43,29.54,40.96,20.28,0.14,47.78,Punido
2014-02-01,7.75,34.43,31.46,42.32,19.64,0.21,30.25,Punido
2014-03-01,7.75,34.43,30.86,43.32,21.16,1.11,48.31,Punido
2014-04-01,7.75,34.43,27.56,38.72,22.5,5.36,70.6,Punido
2014-05-01,7.75,34.43,25.86,33.65,21.18,6.49,79.83,Punido
2014-06-01,7.75,34.43,25.47,30.84,20.29,5.18,81.26,Punido
2014-07-01,7.75,34.43,24.99,30.16,20.59,6.56,81.01,Punido
2014-08-01,7.75,34.43,24.57,30.0,19.44,7.48,82.34,Punido
2014-09-01,7.75,34.43,24.84,31.01,19.79,7.39,81.13,Punido
2014-10-01,7.75,34.43,25.58,31.46,20.42,9.66,82.36,Punido
2014-11-01,7.75,34.43,25.57,32.26,19.15,2.59,77.51,Punido
2014-12-01,7.75,34.43,26.47,33.71,18.56,1.33,66.16,Punido
2015-01-01,7.75,34.43,27.71,38.46,16.96,0.01,51.51,Punido
2015-02-01,7.75,34.43,31.45,41.98,21.15,0.01,36.41,Punido
2015-03-01,7.75,34.43,32.33,43.45,22.45,1.77,42.0,Punido
2015-04-01,7.75,34.43,29.62,41.47,21.68,1.7,57.33,Punido
2015-05-01,7.75,34.43,26.43,35.71,20.87,7.17,76.03,Punido
2015-06-01,7.75,34.43,25.45,33.67,21.05,7.55,80.78,Punido
2015-07-01,7.75,34.43,25.28,32.22,19.91,5.53,80.17,Punido
2015-08-01,7.75,34.43,25.84,34.34,20.06,2.05,74.6,Punido
2015-09-01,7.75,34.43,26.93,35.65,21.65,4.35,71.37,Punido
2015-10-01,7.75,34.43,26.43,35.66,20.64,12.85,78.11,Punido
2015-11-01,7.75,34.43,25.89,33.17,19.94,4.88,77.81,Punido
2015-12-01,7.75,34.43,26.63,35.21,17.37,2.48,70.85,Punido
2016-01-01,7.75,34.43,28.53,38.4,17.29,0.07,53.99,Punido
2016-02-01,7.75,34.43,32.24,43.38,21.75,0.01,35.74,Punido
2016-03-01,7.75,34.43,33.01,44.03,23.63,2.0,45.75,Punido
2016-04-01,7.75,34.43,30.85,42.35,23.14,5.16,56.48,Punido
2016-05-01,7.75,34.43,26.5,35.23,21.82,11.09,79.27,Punido
2016-06-01,7.75,34.43,25.27,32.68,20.46,8.11,81.44,Punido
2016-07-01,7.75,34.43,24.33,29.9,19.83,5.69,83.58,Punido
2016-08-01,7.75,34.43,25.21,30.73,20.41,5.22,78.3,Punido
2016-09-01,7.75,34.43,25.56,31.81,20.65,4.29,77.64,Punido
2016-10-01,7.75,34.43,26.1,32.75,20.87,5.43,77.74,Punido
2016-11-01,7.75,34.43,28.12,37.22,19.19,0.1,57.21,Punido
2016-12-01,7.75,34.43,29.79,40.37,18.26,0.1,41.37,Punido
2017-01-01,7.75,34.43,30.37,40.82,17.71,0.05,26.13,Punido
2017-02-01,7.75,34.43,30.51,41.75,21.56,1.46,45.29,Punido
2017-03-01,7.75,34.43,32.2,42.29,23.24,0.87,40.27,Punido
2017-04-01,7.75,34.43,29.97,42.78,22.61,4.53,57.88,Punido
2017-05-01,7.75,34.43,26.37,36.91,21.71,10.87,79.14,Punido
2017-06-01,7.75,34.43,25.69,32.6,20.49,7.88,80.46,Punido
2017-07-01,7.75,34.43,24.79,30.02,20.52,10.11,83.83,Punido
2017-08-01,7.75,34.43,25.06,31.02,20.17,6.74,82.53,Punido
2017-09-01,7.75,34.43,25.11,30.94,19.68,6.74,82.16,Punido
2017-10-01,7.75,34.43,25.68,32.1,20.83,9.36,82.85,Punido
2017-11-01,7.75,34.43,25.83,32.69,19.38,2.91,74.75,Punido
2017-12-01,7.75,34.43,26.93,36.17,18.26,0.17,58.05,Punido
2018-01-01,7.75,34.43,28.38,39.58,18.63,0.0,48.01,Punido
2018-02-01,7.75,34.43,31.86,42.15,22.17,0.46,37.89,Punido
2018-03-01,7.75,34.43,32.04,42.55,21.24,1.08,38.11,Punido
2018-04-01,7.75,34.43,29.43,40.86,21.47,4.45,60.17,Punido
2018-05-01,7.75,34.43,26.13,36.93,21.23,8.27,79.42,Punido
2018-06-01,7.75,34.43,24.79,30.7,20.86,7.21,83.31,Punido
2018-07-01,7.75,34.43,25.03,30.53,20.65,3.2,78.85,Punido
2018-08-01,7.75,34.43,25.58,32.72,20.74,3.66,76.25,Punido
2018-09-01,7.75,34.43,26.39,35.44,21.35,5.22,73.43,Punido
2018-10-01,7.75,34.43,25.96,33.36,20.58,6.16,76.83,Punido
2018-11-01,7.75,34.43,27.04,37.04,18.64,2.03,67.43,Punido
2018-12-01,7.75,34.43,28.47,38.15,21.08,0.81,58.19,Punido
2019-01-01,7.75,34.43,30.52,41.69,19.17,0.0,33.76,Punido
2019-02-01,7.75,34.43,32.6,42.31,24.29,0.1,33.91,Punido
2019-03-01,7.75,34.43,33.1,43.15,23.96,0.82,36.94,Punido
2019-04-01,7.75,34.43,30.37,43.31,22.79,4.38,57.34,Punido
2019-05-01,7.75,34.43,27.54,38.94,20.55,5.45,73.68,Punido
2019-06-01,7.75,34.43,25.13,31.52,21.11,5.97,83.15,Punido
2019-07-01,7.75,34.43,24.89,31.01,20.02,4.52,80.76,Punido
2019-08-01,7.75,34.43,25.07,30.51,20.25,7.28,80.85,Punido
2019-09-01,7.75,34.43,25.68,32.14,20.34,5.36,79.45,Punido
2019-10-01,7.75,34.43,25.23,31.69,19.52,9.86,84.12,Punido
2019-11-01,7.75,34.43,25.68,32.07,20.9,3.62,81.02,Punido
2019-12-01,7.75,34.43,26.26,33.8,19.92,2.04,73.48,Punido
2020-01-01,7.75,34.43,27.32,37.4,17.75,0.38,59.84,Punido
2020-02-01,7.75,34.43,30.96,42.24,21.58,0.27,45.75,Punido
2020-03-01,7.75,34.43,31.37,43.66,23.09,1.55,46.93,Punido
2020-04-01,7.75,34.43,29.2,42.38,22.33,6.73,64.54,Punido
2020-05-01,7.75,34.43,26.14,32.36,21.4,9.89,82.21,Punido
2020-06-01,7.75,34.43,24.95,30.81,20.1,6.72,83.15,Punido
2020-07-01,7.75,34.43,24.34,29.64,20.02,8.71,84.2,Punido
2020-08-01,7.75,34.43,24.63,29.93,20.05,5.64,83.22,Punido
2020-09-01,7.75,34.43,25.15,31.08,19.81,7.04,81.51,Punido
2020-10-01,7.75,34.43,25.74,32.19,19.82,10.14,80.36,Punido
2020-11-01,7.75,34.43,26.1,33.14,20.03,3.7,73.51,Punido
2020-12-01,7.75,34.43,26.79,35.36,18.91,2.97,63.99,Punido
2021-01-01,7.75,34.43,27.46,37.7,20.49,1.91,61.78,Punido
2021-02-01,7.75,34.43,29.01,39.54,18.6,0.01,47.92,Punido
2021-03-01,7.75,34.43,31.93,41.86,22.41,0.59,44.21,Punido
2021-04-01,7.75,34.43,31.23,43.22,21.87,3.26,49.79,Punido
2021-05-01,7.75,34.43,26.47,37.07,21.54,7.48,77.31,Punido
2021-06-01,7.75,34.43,25.37,32.84,19.82,6.77,79.49,Punido
2021-07-01,7.75,34.43,24.52,30.79,20.0,7.75,82.68,Punido
2021-08-01,7.75,34.43,25.19,30.71,20.4,5.2,79.38,Punido
2021-09-01,7.75,34.43,24.98,32.16,19.99,6.16,81.26,Punido
2021-10-01,7.75,34.43,26.09,33.17,18.63,4.13,76.68,Punido
2021-11-01,7.75,34.43,27.04,36.03,19.98,4.79,68.04,Punido
2021-12-01,7.75,34.43,27.47,36.07,17.86,1.83,62.27,Punido
2022-01-01,7.75,34.43,28.39,38.9,19.8,0.68,55.84,Punido
2022-02-01,7.75,34.43,30.76,40.59,21.04,0.07,37.64,Punido
2022-03-01,7.75,34.43,32.98,43.99,23.76,0.64,37.54,Punido
2022-04-01,7.75,34.43,30.03,43.08,22.31,5.16,59.57,Punido
2022-05-01,7.75,34.43,26.05,33.63,21.48,9.74,80.49,Punido
2022-06-01,7.75,34.43,24.92,31.2,20.58,7.11,81.04,Punido
2022-07-01,7.75,34.43,24.71,30.5,20.39,4.22,80.46,Punido
2022-08-01,7.75,34.43,24.62,30.52,19.92,6.21,82.33,Punido
2022-09-01,7.75,34.43,25.28,31.06,20.54,6.74,80.92,Punido
2022-10-01,7.75,34.43,25.51,32.08,20.14,4.88,80.17,Punido
2022-11-01,7.75,34.43,26.87,35.93,20.79,0.96,69.5,Punido
2022-12-01,7.75,34.43,27.9,37.2,19.5,1.13,59.54,Punido
2023-01-01,7.75,34.43,29.18,40.03,20.07,0.5,46.66,Punido
2023-02-01,7.75,34.43,32.04,41.89,21.05,0.05,29.66,Punido
2023-03-01,7.75,34.43,32.36,43.16,22.2,0.34,36.33,Punido
2023-04-01,7.75,34.43,29.74,43.24,22.78,4.74,59.93,Punido
2023-05-01,7.75,34.43,26.99,35.58,21.53,7.11,77.15,Punido
2023-06-01,7.75,34.43,25.76,32.4,20.98,8.55,79.86,Punido
2023-07-01,7.75,34.43,25.47,31.25,20.75,7.28,79.71,Punido
2023-08-01,7.75,34.43,25.97,33.48,21.21,3.74,76.44,Punido
2023-09-01,7.75,34.43,26.43,34.65,21.42,6.18,76.63,Punido
2023-10-01,7.75,34.43,26.03,32.81,21.06,14.65,81.48,Punido
2023-11-01,7.75,34.43,25.51,32.9,20.62,9.19,83.32,Punido
2023-12-01,7.75,34.43,27.19,34.15,19.01,0.04,69.2,Punido
2024-01-01,7.75,34.43,28.77,38.41,21.1,0.22,58.91,Punido
2024-02-01,7.75,34.43,29.73,40.47,21.26,1.55,56.83,Punido
2024-03-01,7.75,34.43,33.11,43.41,23.06,0.51,41.13,Punido
2024-04-01,7.75,34.43,30.47,42.21,22.83,3.9,59.3,Punido
2024-05-01,7.75,34.43,28.95,42.28,22.49,3.58,68.33,Punido
2024-06-01,7.75,34.43,26.27,34.57,21.28,8.86,78.24,Punido
2024-07-01,7.75,34.43,25.62,32.31,20.2,4.94,79.52,Punido
2024-08-01,7.75,34.43,25.54,31.49,20.07,5.84,81.09,Punido
2024-09-01,7.75,34.43,26.27,32.39,21.07,5.95,78.02,Punido
2024-10-01,7.75,34.43,26.06,32.03,21.0,6.6,80.02,Punido
2024-11-01,7.75,34.43,26.73,33.86,20.71,3.24,74.81,Punido
2024-12-01,7.75,34.43,28.32,38.16,17.23,0.85,55.57,Punido
2025-01-01,7.75,34.43,30.4,40.29,18.86,0.0,41.16,Punido
2025-02-01,7.75,34.43,32.12,43.04,24.03,0.23,35.98,Punido
2025-03-01,7.75,34.43,32.54,42.85,24.01,0.98,40.08,Punido
2025-04-01,7.75,34.43,29.61,38.94,23.22,3.88,63.85,Punido
2025-05-01,7.75,34.43,27.48,38.08,21.91,8.96,74.93,Punido
2025-06-01,7.75,34.43,25.88,32.18,19.79,9.18,78.67,Punido
