period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.5,39.49,16.69,27.54,6.13,0.28,55.71,Quiha
2008-02-01,13.5,39.49,16.87,29.04,6.01,0.02,48.92,Quiha
2008-03-01,13.5,39.49,18.67,31.51,5.67,0.0,27.28,Quiha
2008-04-01,13.5,39.49,19.65,31.15,8.95,1.14,46.67,Quiha
2008-05-01,13.5,39.49,21.53,32.23,13.72,0.55,49.59,Quiha
2008-06-01,13.5,39.49,21.63,31.78,14.33,0.57,52.85,Quiha
2008-07-01,13.5,39.49,19.6,29.94,13.74,3.97,69.95,Quiha
2008-08-01,13.5,39.49,19.0,28.38,13.62,4.79,73.95,Quiha
2008-09-01,13.5,39.49,19.27,28.54,12.37,1.0,64.63,Quiha
2008-10-01,13.5,39.49,18.05,27.99,9.13,0.1,59.36,Quiha
2008-11-01,13.5,39.49,15.95,26.51,5.01,0.61,59.27,Quiha
2008-12-01,13.5,39.49,15.3,26.69,4.42,0.0,53.26,Quiha
2009-01-01,13.5,39.49,16.78,27.68,5.99,0.07,51.05,Quiha
2009-02-01,13.5,39.49,18.32,30.28,8.28,0.05,48.18,Quiha
2009-03-01,13.5,39.49,20.2,32.15,10.67,0.22,50.63,Quiha
2009-04-01,13.5,39.49,21.03,32.1,11.03,0.35,45.83,Quiha
2009-05-01,13.5,39.49,22.27,32.4,12.39,0.01,38.58,Quiha
2009-06-01,13.5,39.49,22.95,32.86,14.71,1.11,47.15,Quiha
2009-07-01,13.5,39.49,18.84,29.52,13.15,7.86,75.93,Quiha
2009-08-01,13.5,39.49,19.1,28.19,13.84,5.09,76.09,Quiha
2009-09-01,13.5,39.49,19.26,27.54,12.51,0.54,62.43,Quiha
2009-10-01,13.5,39.49,17.25,27.35,7.17,1.41,60.25,Quiha
2009-11-01,13.5,39.49,16.25,26.12,7.03,0.02,52.99,Quiha
2009-12-01,13.5,39.49,17.24,27.13,8.44,0.18,61.97,Quiha
2010-01-01,13.5,39.49,16.89,27.83,6.5,0.0,54.43,Quiha
2010-02-01,13.5,39.49,19.08,29.9,9.86,0.47,52.5,Quiha
2010-03-01,13.5,39.49,19.11,30.01,5.76,0.43,52.62,Quiha
2010-04-01,13.5,39.49,21.32,31.04,12.14,1.64,55.78,Quiha
2010-05-01,13.5,39.49,22.1,32.03,13.99,1.16,51.42,Quiha
2010-06-01,13.5,39.49,21.92,32.75,13.53,1.03,54.44,Quiha
2010-07-01,13.5,39.49,18.62,29.78,13.01,6.86,77.12,Quiha
2010-08-01,13.5,39.49,18.11,25.42,13.95,11.25,83.37,Quiha
2010-09-01,13.5,39.49,18.08,25.49,9.16,1.46,72.41,Quiha
2010-10-01,13.5,39.49,16.9,25.31,9.19,0.11,65.19,Quiha
2010-11-01,13.5,39.49,15.57,25.07,6.6,0.11,59.03,Quiha
2010-12-01,13.5,39.49,15.02,25.12,4.14,0.0,56.06,Quiha
2011-01-01,13.5,39.49,16.73,27.42,7.41,0.06,61.45,Quiha
2011-02-01,13.5,39.49,17.69,28.95,5.9,0.17,49.16,Quiha
2011-03-01,13.5,39.49,17.67,29.08,7.54,1.29,54.31,Quiha
2011-04-01,13.5,39.49,20.83,31.77,10.94,0.16,48.31,Quiha
2011-05-01,13.5,39.49,20.73,30.47,12.65,2.3,57.19,Quiha
2011-06-01,13.5,39.49,22.08,31.79,14.25,0.17,47.97,Quiha
2011-07-01,13.5,39.49,19.6,29.25,12.98,2.96,68.64,Quiha
2011-08-01,13.5,39.49,19.78,29.88,13.9,1.87,69.69,Quiha
2011-09-01,13.5,39.49,19.61,29.51,12.23,0.99,62.31,Quiha
2011-10-01,13.5,39.49,18.04,28.3,8.12,0.18,52.5,Quiha
2011-11-01,13.5,39.49,17.37,26.47,7.16,0.26,60.69,Quiha
2011-12-01,13.5,39.49,15.53,27.18,5.27,0.01,53.66,Quiha
2012-01-01,13.5,39.49,16.84,28.56,6.95,0.0,55.43,Quiha
2012-02-01,13.5,39.49,17.12,30.22,5.72,0.0,43.77,Quiha
2012-03-01,13.5,39.49,19.11,30.16,8.34,0.01,43.19,Quiha
2012-04-01,13.5,39.49,21.48,31.04,12.12,0.49,52.4,Quiha
2012-05-01,13.5,39.49,22.18,32.22,13.95,0.12,45.82,Quiha
2012-06-01,13.5,39.49,21.93,32.49,13.98,0.54,48.46,Quiha
2012-07-01,13.5,39.49,19.28,29.29,14.63,4.04,74.01,Quiha
2012-08-01,13.5,39.49,19.15,29.19,12.91,3.09,74.35,Quiha
2012-09-01,13.5,39.49,19.9,28.36,11.96,0.84,61.81,Quiha
2012-10-01,13.5,39.49,18.22,28.78,8.28,0.02,50.07,Quiha
2012-11-01,13.5,39.49,17.99,28.63,9.38,0.13,48.22,Quiha
2012-12-01,13.5,39.49,16.59,27.51,6.75,0.04,52.81,Quiha
2013-01-01,13.5,39.49,17.32,29.18,7.56,0.18,53.92,Quiha
2013-02-01,13.5,39.49,18.0,30.41,8.1,0.03,45.89,Quiha
2013-03-01,13.5,39.49,20.7,31.48,11.11,0.69,50.74,Quiha
2013-04-01,13.5,39.49,21.83,32.31,13.09,0.45,53.18,Quiha
2013-05-01,13.5,39.49,22.76,31.96,14.68,0.79,41.18,Quiha
2013-06-01,13.5,39.49,21.31,32.27,13.87,1.63,50.96,Quiha
2013-07-01,13.5,39.49,18.61,28.46,13.08,7.92,74.58,Quiha
