period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.13,40.0,10.78,21.17,2.0,0.37,57.23,Robe
2008-02-01,7.13,40.0,11.66,22.86,1.15,0.19,48.92,Robe
2008-03-01,7.13,40.0,13.42,24.64,1.17,0.46,40.44,Robe
2008-04-01,7.13,40.0,12.57,21.3,6.07,4.77,79.05,Robe
2008-05-01,7.13,40.0,13.61,21.43,7.45,1.17,77.31,Robe
2008-06-01,7.13,40.0,13.19,21.85,7.19,1.65,75.95,Robe
2008-07-01,7.13,40.0,13.11,21.83,6.41,3.04,76.89,Robe
2008-08-01,7.13,40.0,12.65,20.22,6.04,4.58,80.97,Robe
2008-09-01,7.13,40.0,12.76,19.68,6.59,4.82,82.09,Robe
2008-10-01,7.13,40.0,11.77,18.64,3.08,4.5,81.31,Robe
2008-11-01,7.13,40.0,9.83,18.62,-0.73,4.22,80.15,Robe
2008-12-01,7.13,40.0,9.61,18.62,-0.17,0.13,70.06,Robe
2009-01-01,7.13,40.0,10.63,20.06,0.9,1.67,69.82,Robe
2009-02-01,7.13,40.0,11.71,21.84,3.38,0.4,64.38,Robe
2009-03-01,7.13,40.0,13.35,24.43,4.28,1.86,62.92,Robe
2009-04-01,7.13,40.0,13.16,20.79,6.91,4.16,81.78,Robe
2009-05-01,7.13,40.0,13.31,21.24,7.29,3.05,77.82,Robe
2009-06-01,7.13,40.0,13.56,22.14,5.37,1.99,75.3,Robe
2009-07-01,7.13,40.0,12.52,20.18,5.86,3.55,78.47,Robe
2009-08-01,7.13,40.0,12.68,19.93,7.01,2.81,79.03,Robe
2009-09-01,7.13,40.0,12.94,20.21,7.16,4.25,80.47,Robe
2009-10-01,7.13,40.0,11.63,17.91,3.54,5.63,85.78,Robe
2009-11-01,7.13,40.0,10.34,18.41,0.99,0.84,74.32,Robe
2009-12-01,7.13,40.0,11.26,18.74,4.52,2.39,81.65,Robe
2010-01-01,7.13,40.0,11.44,21.25,1.79,0.22,66.7,Robe
2010-02-01,7.13,40.0,12.38,23.3,5.12,6.84,75.47,Robe
2010-03-01,7.13,40.0,12.08,19.1,3.3,5.09,84.1,Robe
2010-04-01,7.13,40.0,12.89,19.72,5.61,7.17,86.17,Robe
2010-05-01,7.13,40.0,13.54,20.06,8.81,5.84,85.6,Robe
2010-06-01,7.13,40.0,12.73,19.38,6.44,3.66,83.85,Robe
2010-07-01,7.13,40.0,12.04,18.44,6.48,3.76,85.46,Robe
2010-08-01,7.13,40.0,12.16,19.01,5.82,5.14,86.16,Robe
2010-09-01,7.13,40.0,12.27,19.04,6.09,3.94,85.44,Robe
2010-10-01,7.13,40.0,11.28,17.41,4.62,2.34,84.74,Robe
2010-11-01,7.13,40.0,10.11,17.17,1.55,0.58,76.23,Robe
2010-12-01,7.13,40.0,9.82,18.62,-1.06,0.29,66.53,Robe
2011-01-01,7.13,40.0,10.87,21.14,0.56,0.17,61.19,Robe
2011-02-01,7.13,40.0,12.05,22.73,1.34,0.43,51.81,Robe
2011-03-01,7.13,40.0,12.56,23.14,3.59,1.37,58.76,Robe
2011-04-01,7.13,40.0,13.45,23.08,4.79,4.17,74.01,Robe
2011-05-01,7.13,40.0,13.12,20.23,7.45,5.92,83.99,Robe
2011-06-01,7.13,40.0,13.09,19.87,7.24,1.71,81.81,Robe
2011-07-01,7.13,40.0,12.92,20.66,5.81,1.63,78.83,Robe
2011-08-01,7.13,40.0,13.13,21.73,7.94,0.73,76.62,Robe
2011-09-01,7.13,40.0,13.21,21.71,7.99,1.7,77.98,Robe
2011-10-01,7.13,40.0,12.11,20.73,2.85,2.52,76.24,Robe
2011-11-01,7.13,40.0,11.59,20.72,2.76,4.22,83.12,Robe
2011-12-01,7.13,40.0,10.41,20.99,-1.47,0.25,65.83,Robe
2012-01-01,7.13,40.0,11.18,22.55,0.45,0.01,54.59,Robe
2012-02-01,7.13,40.0,11.92,23.75,1.77,0.1,47.9,Robe
2012-03-01,7.13,40.0,13.48,25.08,2.93,0.16,48.48,Robe
2012-04-01,7.13,40.0,12.5,19.25,6.28,11.36,83.69,Robe
2012-05-01,7.13,40.0,12.83,19.24,6.0,2.25,81.13,Robe
2012-06-01,7.13,40.0,12.85,20.23,7.13,1.2,79.92,Robe
2012-07-01,7.13,40.0,12.77,19.76,7.15,2.81,81.54,Robe
2012-08-01,7.13,40.0,12.37,19.42,6.15,12.25,84.78,Robe
2012-09-01,7.13,40.0,12.18,18.79,6.28,5.97,85.84,Robe
2012-10-01,7.13,40.0,11.29,17.9,2.85,2.5,85.5,Robe
2012-11-01,7.13,40.0,11.18,18.24,2.17,1.13,82.32,Robe
2012-12-01,7.13,40.0,10.53,18.22,1.99,0.59,77.47,Robe
2013-01-01,7.13,40.0,11.33,21.98,1.86,0.18,68.33,Robe
2013-02-01,7.13,40.0,12.37,22.79,3.54,0.17,55.8,Robe
2013-03-01,7.13,40.0,13.1,23.35,6.06,5.96,76.22,Robe
2013-04-01,7.13,40.0,13.05,19.96,6.59,8.17,85.74,Robe
2013-05-01,7.13,40.0,12.84,18.52,6.71,4.49,84.52,Robe
2013-06-01,7.13,40.0,12.36,18.44,7.57,4.47,84.66,Robe
2013-07-01,7.13,40.0,12.06,18.2,7.48,5.5,86.22,Robe
2013-08-01,7.13,40.0,11.69,18.28,6.95,5.44,87.05,Robe
2013-09-01,7.13,40.0,12.17,18.55,6.13,3.65,85.12,Robe
2013-10-01,7.13,40.0,11.05,16.77,3.01,7.26,87.46,Robe
2013-11-01,7.13,40.0,10.67,17.47,2.31,3.92,87.73,Robe
2013-12-01,7.13,40.0,9.47,18.17,0.29,0.08,73.8,Robe
2014-01-01,7.13,40.0,10.77,19.13,2.19,0.15,69.76,Robe
2014-02-01,7.13,40.0,12.11,19.62,4.46,1.58,74.24,Robe
2014-03-01,7.13,40.0,12.45,21.98,5.36,2.22,76.32,Robe
2014-04-01,7.13,40.0,12.41,20.6,5.35,5.78,84.66,Robe
2014-05-01,7.13,40.0,13.03,19.71,7.2,6.14,85.57,Robe
2014-06-01,7.13,40.0,12.78,19.3,6.69,3.17,81.12,Robe
2014-07-01,7.13,40.0,12.21,19.08,6.55,4.09,84.08,Robe
2014-08-01,7.13,40.0,12.34,19.31,7.23,4.12,82.49,Robe
2014-09-01,7.13,40.0,12.17,18.57,7.08,6.0,85.12,Robe
2014-10-01,7.13,40.0,11.37,17.37,3.87,5.86,88.3,Robe
2014-11-01,7.13,40.0,10.84,17.47,3.07,1.97,85.53,Robe
2014-12-01,7.13,40.0,9.57,18.22,0.18,1.54,72.31,Robe
2015-01-01,7.13,40.0,9.91,19.36,-0.59,0.45,60.83,Robe
2015-02-01,7.13,40.0,11.84,20.89,1.69,1.05,61.01,Robe
2015-03-01,7.13,40.0,12.29,22.25,3.27,1.85,66.12,Robe
2015-04-01,7.13,40.0,13.06,21.12,5.01,2.97,77.73,Robe
