period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.3,36.88,23.61,32.88,12.75,1.12,43.67,Sawla
2008-02-01,6.3,36.88,24.81,34.37,12.74,0.55,37.5,Sawla
2008-03-01,6.3,36.88,25.31,35.43,15.52,2.37,42.17,Sawla
2008-04-01,6.3,36.88,21.78,31.25,15.14,7.03,72.03,Sawla
2008-05-01,6.3,36.88,20.91,26.44,15.85,2.64,77.67,Sawla
2008-06-01,6.3,36.88,19.9,27.43,15.11,3.06,76.72,Sawla
2008-07-01,6.3,36.88,19.38,28.33,14.42,3.58,77.13,Sawla
2008-08-01,6.3,36.88,19.93,27.09,14.43,3.51,75.69,Sawla
2008-09-01,6.3,36.88,20.53,27.74,14.79,4.3,75.06,Sawla
2008-10-01,6.3,36.88,20.23,27.29,13.63,6.11,75.19,Sawla
2008-11-01,6.3,36.88,19.27,25.86,9.76,4.39,70.05,Sawla
2008-12-01,6.3,36.88,21.01,30.41,10.7,0.24,56.52,Sawla
2009-01-01,6.3,36.88,22.75,32.64,12.48,1.91,49.3,Sawla
2009-02-01,6.3,36.88,25.04,35.15,15.68,0.54,45.88,Sawla
2009-03-01,6.3,36.88,25.56,34.88,16.45,2.17,50.19,Sawla
2009-04-01,6.3,36.88,21.66,30.12,16.39,8.07,77.85,Sawla
2009-05-01,6.3,36.88,21.43,28.55,16.07,4.14,75.1,Sawla
2009-06-01,6.3,36.88,21.56,29.0,15.66,1.69,71.42,Sawla
2009-07-01,6.3,36.88,20.85,28.97,15.13,2.99,68.68,Sawla
2009-08-01,6.3,36.88,21.12,29.33,15.16,2.71,69.53,Sawla
2009-09-01,6.3,36.88,21.46,28.72,15.54,5.61,71.5,Sawla
2009-10-01,6.3,36.88,20.44,26.13,14.32,5.46,75.78,Sawla
2009-11-01,6.3,36.88,21.39,29.88,10.97,1.18,59.16,Sawla
2009-12-01,6.3,36.88,21.3,30.15,14.7,3.99,70.56,Sawla
2010-01-01,6.3,36.88,21.93,32.52,13.63,1.11,60.51,Sawla
2010-02-01,6.3,36.88,23.41,32.98,16.5,2.21,62.26,Sawla
2010-03-01,6.3,36.88,22.86,33.16,14.68,5.1,65.91,Sawla
2010-04-01,6.3,36.88,21.92,28.63,15.91,5.77,75.44,Sawla
2010-05-01,6.3,36.88,20.63,26.31,16.69,8.27,84.34,Sawla
2010-06-01,6.3,36.88,19.96,25.32,15.45,5.7,82.41,Sawla
2010-07-01,6.3,36.88,18.99,25.34,14.93,4.17,81.67,Sawla
2010-08-01,6.3,36.88,19.46,25.13,14.86,3.76,80.18,Sawla
2010-09-01,6.3,36.88,19.93,25.82,14.87,4.31,77.42,Sawla
2010-10-01,6.3,36.88,20.79,27.13,14.91,3.55,73.34,Sawla
2010-11-01,6.3,36.88,21.11,29.48,11.94,1.44,61.47,Sawla
2010-12-01,6.3,36.88,21.81,31.66,10.65,0.78,53.39,Sawla
2011-01-01,6.3,36.88,23.6,33.88,14.23,0.33,43.27,Sawla
2011-02-01,6.3,36.88,25.78,35.58,14.29,0.25,31.67,Sawla
2011-03-01,6.3,36.88,24.61,35.73,15.41,2.18,50.17,Sawla
2011-04-01,6.3,36.88,23.36,33.66,16.37,4.71,65.84,Sawla
2011-05-01,6.3,36.88,20.84,27.09,16.21,6.54,80.0,Sawla
2011-06-01,6.3,36.88,19.56,25.55,14.69,3.58,83.66,Sawla
2011-07-01,6.3,36.88,19.72,26.32,14.47,2.26,77.6,Sawla
2011-08-01,6.3,36.88,19.96,27.65,14.82,2.04,75.04,Sawla
2011-09-01,6.3,36.88,20.49,28.57,15.15,2.68,74.55,Sawla
2011-10-01,6.3,36.88,21.72,29.82,13.48,3.13,65.86,Sawla
2011-11-01,6.3,36.88,19.94,27.56,14.19,7.16,77.4,Sawla
2011-12-01,6.3,36.88,20.87,30.57,9.66,0.78,58.06,Sawla
2012-01-01,6.3,36.88,23.96,33.63,10.99,0.03,38.42,Sawla
2012-02-01,6.3,36.88,25.6,35.53,13.14,0.28,28.03,Sawla
2012-03-01,6.3,36.88,25.78,35.54,15.81,0.94,39.34,Sawla
2012-04-01,6.3,36.88,21.35,30.46,15.88,9.43,75.97,Sawla
2012-05-01,6.3,36.88,20.54,26.06,16.17,6.32,83.56,Sawla
2012-06-01,6.3,36.88,19.36,24.87,14.61,2.95,83.4,Sawla
2012-07-01,6.3,36.88,18.56,24.27,14.41,4.15,84.7,Sawla
2012-08-01,6.3,36.88,19.06,24.58,14.77,9.71,82.89,Sawla
2012-09-01,6.3,36.88,19.66,25.0,15.0,6.75,81.04,Sawla
2012-10-01,6.3,36.88,20.29,26.35,13.52,4.18,76.03,Sawla
2012-11-01,6.3,36.88,20.2,25.83,13.46,3.07,73.38,Sawla
2012-12-01,6.3,36.88,20.81,27.67,12.49,2.68,66.18,Sawla
2013-01-01,6.3,36.88,22.56,31.64,11.95,0.92,56.22,Sawla
2013-02-01,6.3,36.88,25.62,36.03,16.41,0.22,40.23,Sawla
2013-03-01,6.3,36.88,23.81,34.73,16.53,3.85,62.31,Sawla
2013-04-01,6.3,36.88,21.08,29.11,16.0,10.05,79.83,Sawla
2013-05-01,6.3,36.88,20.31,25.89,15.95,8.19,83.39,Sawla
2013-06-01,6.3,36.88,19.1,24.32,15.23,5.36,84.88,Sawla
2013-07-01,6.3,36.88,18.4,23.8,14.31,5.68,85.03,Sawla
2013-08-01,6.3,36.88,18.68,24.11,13.99,4.26,82.09,Sawla
2013-09-01,6.3,36.88,19.89,26.39,15.08,4.17,79.4,Sawla
2013-10-01,6.3,36.88,19.94,25.54,13.22,6.43,77.71,Sawla
2013-11-01,6.3,36.88,20.12,25.53,12.48,5.6,76.33,Sawla
2013-12-01,6.3,36.88,19.76,27.95,10.71,0.33,63.89,Sawla
2014-01-01,6.3,36.88,22.96,33.84,13.84,0.06,52.58,Sawla
2014-02-01,6.3,36.88,23.85,33.26,14.08,1.5,54.26,Sawla
2014-03-01,6.3,36.88,24.53,35.49,15.51,3.94,56.75,Sawla
2014-04-01,6.3,36.88,21.47,27.53,16.05,7.02,77.77,Sawla
2014-05-01,6.3,36.88,20.83,26.72,15.66,10.11,82.54,Sawla
2014-06-01,6.3,36.88,20.06,26.0,15.01,5.13,82.07,Sawla
2014-07-01,6.3,36.88,19.3,24.97,14.16,4.51,82.61,Sawla
2014-08-01,6.3,36.88,19.24,25.01,14.24,4.11,81.42,Sawla
2014-09-01,6.3,36.88,19.88,25.81,14.62,5.64,78.37,Sawla
2014-10-01,6.3,36.88,19.9,25.51,14.59,7.85,79.94,Sawla
2014-11-01,6.3,36.88,20.25,25.78,13.89,3.56,75.77,Sawla
2014-12-01,6.3,36.88,19.82,26.77,11.68,1.63,65.8,Sawla
2015-01-01,6.3,36.88,22.26,33.24,10.5,0.02,47.25,Sawla
2015-02-01,6.3,36.88,25.5,34.91,14.59,0.49,40.95,Sawla
2015-03-01,6.3,36.88,25.8,36.18,16.08,1.54,42.07,Sawla
2015-04-01,6.3,36.88,22.17,32.48,15.76,5.56,73.9,Sawla
2015-05-01,6.3,36.88,20.71,27.67,15.97,6.76,83.1,Sawla
2015-06-01,6.3,36.88,19.82,26.08,14.52,4.33,83.51,Sawla
2015-07-01,6.3,36.88,19.85,25.82,15.05,3.69,80.28,Sawla
2015-08-01,6.3,36.88,20.78,28.77,14.95,1.99,72.25,Sawla
2015-09-01,6.3,36.88,22.69,31.88,16.01,1.56,64.63,Sawla
2015-10-01,6.3,36.88,21.05,29.33,15.36,10.2,78.21,Sawla
2015-11-01,6.3,36.88,20.17,26.08,12.69,6.61,77.93,Sawla
2015-12-01,6.3,36.88,20.5,26.88,13.24,3.54,74.14,Sawla
2016-01-01,6.3,36.88,22.37,29.99,15.6,0.61,66.33,Sawla
2016-02-01,6.3,36.88,25.23,35.72,15.59,0.48,45.71,Sawla
2016-03-01,6.3,36.88,25.5,35.67,16.2,2.55,58.76,Sawla
2016-04-01,6.3,36.88,21.64,29.66,16.63,11.95,79.27,Sawla
2016-05-01,6.3,36.88,20.49,26.23,16.76,6.33,84.57,Sawla
2016-06-01,6.3,36.88,19.72,25.79,14.99,2.73,82.68,Sawla
2016-07-01,6.3,36.88,19.17,25.2,14.5,2.83,81.54,Sawla
2016-08-01,6.3,36.88,19.45,25.47,14.12,5.8,77.53,Sawla
