period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.63,39.03,20.8,28.07,13.05,0.29,44.55,Sekota
2008-02-01,12.63,39.03,21.28,28.95,12.07,0.0,38.93,Sekota
2008-03-01,12.63,39.03,22.96,31.08,13.31,0.02,28.31,Sekota
2008-04-01,12.63,39.03,23.01,31.28,15.38,1.16,41.03,Sekota
2008-05-01,12.63,39.03,24.36,32.03,18.54,1.35,44.31,Sekota
2008-06-01,12.63,39.03,23.13,30.79,16.51,1.67,52.62,Sekota
2008-07-01,12.63,39.03,20.69,27.54,16.23,9.06,69.38,Sekota
2008-08-01,12.63,39.03,20.28,25.55,15.43,10.91,71.53,Sekota
2008-09-01,12.63,39.03,20.98,26.11,16.59,2.83,63.07,Sekota
2008-10-01,12.63,39.03,20.65,26.79,14.44,0.46,55.21,Sekota
2008-11-01,12.63,39.03,19.6,26.78,11.75,1.31,50.91,Sekota
2008-12-01,12.63,39.03,19.73,26.86,12.48,0.03,44.82,Sekota
2009-01-01,12.63,39.03,20.87,28.03,12.83,0.15,40.61,Sekota
2009-02-01,12.63,39.03,22.6,30.13,15.49,0.2,40.01,Sekota
2009-03-01,12.63,39.03,24.49,32.03,17.4,0.33,39.1,Sekota
2009-04-01,12.63,39.03,24.48,32.07,17.37,0.52,38.47,Sekota
2009-05-01,12.63,39.03,25.41,31.99,18.2,0.12,34.16,Sekota
2009-06-01,12.63,39.03,24.6,32.92,17.77,2.61,47.1,Sekota
2009-07-01,12.63,39.03,20.1,27.21,15.87,11.24,73.14,Sekota
2009-08-01,12.63,39.03,20.74,25.69,16.12,9.17,71.92,Sekota
2009-09-01,12.63,39.03,21.61,26.21,17.57,1.88,58.94,Sekota
2009-10-01,12.63,39.03,20.38,26.37,13.63,2.55,54.42,Sekota
2009-11-01,12.63,39.03,20.24,26.91,12.74,0.12,44.83,Sekota
2009-12-01,12.63,39.03,21.17,27.76,15.11,0.3,48.1,Sekota
2010-01-01,12.63,39.03,21.25,28.58,14.11,0.0,43.46,Sekota
2010-02-01,12.63,39.03,23.32,30.41,16.08,0.07,41.14,Sekota
2010-03-01,12.63,39.03,22.96,30.91,14.42,1.0,43.44,Sekota
2010-04-01,12.63,39.03,24.64,31.29,18.34,1.88,47.07,Sekota
2010-05-01,12.63,39.03,25.19,32.08,19.55,1.94,44.62,Sekota
2010-06-01,12.63,39.03,23.69,32.08,17.19,2.42,53.55,Sekota
2010-07-01,12.63,39.03,19.96,29.0,15.79,11.37,74.05,Sekota
2010-08-01,12.63,39.03,19.48,23.33,15.73,16.78,79.46,Sekota
2010-09-01,12.63,39.03,20.51,24.75,15.59,3.43,66.94,Sekota
2010-10-01,12.63,39.03,20.35,25.69,15.48,0.22,56.29,Sekota
2010-11-01,12.63,39.03,20.06,26.24,13.51,0.22,47.88,Sekota
2010-12-01,12.63,39.03,19.88,26.43,12.72,0.04,43.74,Sekota
2011-01-01,12.63,39.03,21.01,28.73,14.37,0.16,44.98,Sekota
2011-02-01,12.63,39.03,21.83,29.89,14.18,0.03,37.94,Sekota
2011-03-01,12.63,39.03,21.79,30.04,13.3,1.35,44.89,Sekota
2011-04-01,12.63,39.03,24.39,31.37,17.8,0.3,40.13,Sekota
2011-05-01,12.63,39.03,23.97,31.57,18.3,3.26,48.02,Sekota
2011-06-01,12.63,39.03,23.51,30.88,17.17,0.8,51.9,Sekota
2011-07-01,12.63,39.03,20.86,28.68,15.81,4.69,67.43,Sekota
2011-08-01,12.63,39.03,20.47,26.38,15.83,4.67,70.59,Sekota
2011-09-01,12.63,39.03,21.6,28.17,16.74,1.93,59.53,Sekota
2011-10-01,12.63,39.03,21.33,27.97,14.23,0.16,45.67,Sekota
2011-11-01,12.63,39.03,20.98,27.94,14.16,0.84,49.93,Sekota
2011-12-01,12.63,39.03,19.88,27.4,11.95,0.0,41.75,Sekota
2012-01-01,12.63,39.03,20.89,28.56,12.43,0.0,44.01,Sekota
2012-02-01,12.63,39.03,21.3,30.1,12.43,0.0,37.16,Sekota
2012-03-01,12.63,39.03,23.19,30.98,14.82,0.29,36.95,Sekota
2012-04-01,12.63,39.03,24.71,31.55,18.78,0.65,40.15,Sekota
2012-05-01,12.63,39.03,24.95,32.21,17.8,0.42,40.68,Sekota
2012-06-01,12.63,39.03,24.06,32.45,16.14,1.26,46.82,Sekota
2012-07-01,12.63,39.03,20.27,27.24,16.1,9.06,73.42,Sekota
2012-08-01,12.63,39.03,19.97,25.43,16.27,7.77,75.01,Sekota
2012-09-01,12.63,39.03,21.29,26.01,16.63,2.19,62.88,Sekota
2012-10-01,12.63,39.03,20.91,28.04,13.49,0.39,48.04,Sekota
2012-11-01,12.63,39.03,21.44,28.54,15.5,0.45,45.09,Sekota
2012-12-01,12.63,39.03,20.62,27.87,13.09,0.16,42.35,Sekota
