period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,7.36,38.45,18.66,29.51,8.67,0.2,41.78,Shalla
2008-02-01,7.36,38.45,19.57,30.28,8.57,0.27,36.1,Shalla
2008-03-01,7.36,38.45,20.88,31.06,9.25,0.51,28.67,Shalla
2008-04-01,7.36,38.45,19.92,31.49,11.16,3.85,59.72,Shalla
2008-05-01,7.36,38.45,19.74,29.84,12.83,2.02,66.03,Shalla
2008-06-01,7.36,38.45,18.18,27.53,12.08,2.65,72.97,Shalla
2008-07-01,7.36,38.45,16.95,24.63,10.44,8.07,79.99,Shalla
2008-08-01,7.36,38.45,16.68,22.65,12.36,8.48,83.03,Shalla
2008-09-01,7.36,38.45,17.27,23.78,12.17,6.49,80.13,Shalla
2008-10-01,7.36,38.45,17.01,24.14,9.07,4.12,74.02,Shalla
2008-11-01,7.36,38.45,15.25,23.5,5.59,4.16,72.2,Shalla
2008-12-01,7.36,38.45,16.17,25.73,6.64,0.08,59.82,Shalla
2009-01-01,7.36,38.45,17.46,26.89,7.57,1.09,58.49,Shalla
2009-02-01,7.36,38.45,19.81,30.4,10.7,0.14,46.85,Shalla
2009-03-01,7.36,38.45,21.82,32.48,12.3,1.33,42.27,Shalla
2009-04-01,7.36,38.45,20.3,30.07,12.45,3.02,62.96,Shalla
2009-05-01,7.36,38.45,20.43,30.28,13.1,2.78,59.8,Shalla
2009-06-01,7.36,38.45,19.61,29.26,12.82,3.32,67.29,Shalla
2009-07-01,7.36,38.45,16.94,23.86,11.56,7.16,78.77,Shalla
2009-08-01,7.36,38.45,17.25,23.52,11.44,5.89,80.8,Shalla
2009-09-01,7.36,38.45,17.85,24.52,12.49,4.46,76.36,Shalla
2009-10-01,7.36,38.45,17.13,24.58,9.08,4.21,74.81,Shalla
2009-11-01,7.36,38.45,17.05,26.69,7.82,0.25,58.58,Shalla
2009-12-01,7.36,38.45,18.3,27.17,10.47,1.94,65.63,Shalla
2010-01-01,7.36,38.45,18.74,29.63,8.5,0.14,52.57,Shalla
2010-02-01,7.36,38.45,19.73,29.82,12.25,3.22,60.84,Shalla
2010-03-01,7.36,38.45,19.54,28.58,11.23,2.96,64.76,Shalla
2010-04-01,7.36,38.45,19.9,30.15,11.08,5.62,68.11,Shalla
2010-05-01,7.36,38.45,19.38,28.4,14.4,6.22,75.01,Shalla
2010-06-01,7.36,38.45,17.84,25.01,12.37,6.26,79.39,Shalla
2010-07-01,7.36,38.45,16.33,22.5,11.56,7.25,84.6,Shalla
2010-08-01,7.36,38.45,16.47,22.09,12.29,6.98,85.75,Shalla
2010-09-01,7.36,38.45,17.16,23.04,12.23,6.01,81.84,Shalla
2010-10-01,7.36,38.45,17.18,24.19,9.48,1.45,73.48,Shalla
2010-11-01,7.36,38.45,17.2,25.26,8.49,0.53,61.57,Shalla
2010-12-01,7.36,38.45,17.08,26.71,5.93,0.49,53.57,Shalla
2011-01-01,7.36,38.45,18.65,28.72,8.09,0.15,47.23,Shalla
2011-02-01,7.36,38.45,19.9,31.11,9.25,0.42,37.64,Shalla
2011-03-01,7.36,38.45,20.47,30.92,11.09,1.68,44.85,Shalla
2011-04-01,7.36,38.45,21.32,31.12,12.29,2.42,53.37,Shalla
2011-05-01,7.36,38.45,19.67,29.0,13.65,5.31,69.53,Shalla
2011-06-01,7.36,38.45,17.86,25.29,12.63,3.43,78.38,Shalla
2011-07-01,7.36,38.45,17.04,24.76,11.97,4.28,80.26,Shalla
2011-08-01,7.36,38.45,16.98,23.93,11.15,2.9,80.71,Shalla
2011-09-01,7.36,38.45,17.7,25.46,12.0,2.92,78.07,Shalla
2011-10-01,7.36,38.45,18.29,27.26,9.27,1.27,59.44,Shalla
2011-11-01,7.36,38.45,18.24,26.86,9.5,2.77,65.65,Shalla
2011-12-01,7.36,38.45,17.53,27.52,6.85,0.08,48.72,Shalla
2012-01-01,7.36,38.45,19.13,29.48,7.99,0.0,38.2,Shalla
2012-02-01,7.36,38.45,20.38,31.37,10.0,0.05,31.35,Shalla
2012-03-01,7.36,38.45,21.57,31.7,10.48,0.39,34.13,Shalla
2012-04-01,7.36,38.45,19.47,28.07,12.78,6.42,67.13,Shalla
2012-05-01,7.36,38.45,19.77,28.53,12.7,2.69,65.57,Shalla
2012-06-01,7.36,38.45,18.31,26.42,12.07,2.4,73.6,Shalla
2012-07-01,7.36,38.45,16.8,22.65,11.2,8.31,83.22,Shalla
2012-08-01,7.36,38.45,16.41,21.9,12.16,14.16,86.07,Shalla
2012-09-01,7.36,38.45,16.98,22.95,11.67,6.99,83.06,Shalla
2012-10-01,7.36,38.45,16.77,23.63,8.58,1.19,75.34,Shalla
2012-11-01,7.36,38.45,17.68,26.28,8.76,0.66,66.37,Shalla
2012-12-01,7.36,38.45,17.85,26.53,8.76,0.42,58.8,Shalla
2013-01-01,7.36,38.45,18.89,28.75,8.74,0.6,52.01,Shalla
2013-02-01,7.36,38.45,20.91,30.97,10.62,0.09,36.55,Shalla
2013-03-01,7.36,38.45,20.75,31.26,13.52,4.08,57.43,Shalla
2013-04-01,7.36,38.45,19.43,28.19,13.68,6.68,71.3,Shalla
2013-05-01,7.36,38.45,18.59,26.92,12.78,5.37,74.99,Shalla
2013-06-01,7.36,38.45,17.09,24.55,11.96,6.94,82.69,Shalla
2013-07-01,7.36,38.45,16.04,21.65,12.07,8.63,86.72,Shalla
2013-08-01,7.36,38.45,15.99,21.65,11.25,6.96,86.08,Shalla
