period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,14.4,37.93,23.04,31.93,15.01,0.09,46.18,Sheraro
2008-02-01,14.4,37.93,23.89,33.15,15.01,0.0,37.63,Sheraro
2008-03-01,14.4,37.93,26.21,35.44,16.07,0.02,25.33,Sheraro
2008-04-01,14.4,37.93,27.06,36.06,19.45,1.84,38.26,Sheraro
2008-05-01,14.4,37.93,27.77,36.6,20.61,0.57,41.15,Sheraro
2008-06-01,14.4,37.93,25.49,35.94,19.63,1.3,55.3,Sheraro
2008-07-01,14.4,37.93,22.55,32.1,17.81,4.77,72.84,Sheraro
2008-08-01,14.4,37.93,21.54,29.57,17.64,6.22,82.52,Sheraro
2008-09-01,14.4,37.93,23.27,32.73,17.8,2.24,68.11,Sheraro
2008-10-01,14.4,37.93,24.42,31.83,17.27,0.14,46.84,Sheraro
2008-11-01,14.4,37.93,22.94,31.11,14.35,0.14,42.15,Sheraro
2008-12-01,14.4,37.93,22.4,31.13,13.59,0.0,41.19,Sheraro
2009-01-01,14.4,37.93,22.75,32.28,14.59,0.0,37.95,Sheraro
2009-02-01,14.4,37.93,25.43,34.56,16.36,0.12,36.54,Sheraro
2009-03-01,14.4,37.93,27.24,36.5,16.94,0.05,33.81,Sheraro
2009-04-01,14.4,37.93,28.18,36.72,18.0,0.09,30.98,Sheraro
2009-05-01,14.4,37.93,29.24,37.29,20.84,0.07,29.78,Sheraro
2009-06-01,14.4,37.93,25.96,36.17,19.37,4.02,56.4,Sheraro
2009-07-01,14.4,37.93,21.56,29.46,17.68,7.71,79.39,Sheraro
2009-08-01,14.4,37.93,22.19,29.3,18.1,5.83,81.02,Sheraro
2009-09-01,14.4,37.93,24.07,32.02,17.17,1.53,61.71,Sheraro
2009-10-01,14.4,37.93,24.08,31.38,16.97,0.77,47.6,Sheraro
2009-11-01,14.4,37.93,23.48,31.42,15.47,0.02,41.3,Sheraro
2009-12-01,14.4,37.93,22.49,31.34,14.22,0.01,43.55,Sheraro
2010-01-01,14.4,37.93,23.36,33.04,13.79,0.0,42.58,Sheraro
2010-02-01,14.4,37.93,24.75,34.51,15.66,0.0,34.9,Sheraro
2010-03-01,14.4,37.93,25.91,35.55,16.0,0.48,33.51,Sheraro
2010-04-01,14.4,37.93,28.91,36.18,21.34,0.93,37.03,Sheraro
2010-05-01,14.4,37.93,28.41,37.4,20.47,0.77,37.92,Sheraro
2010-06-01,14.4,37.93,25.24,34.02,18.75,1.66,60.34,Sheraro
2010-07-01,14.4,37.93,21.56,31.34,16.21,7.53,79.65,Sheraro
2010-08-01,14.4,37.93,20.67,26.09,17.45,10.52,88.12,Sheraro
2010-09-01,14.4,37.93,22.36,29.86,15.8,2.84,74.4,Sheraro
2010-10-01,14.4,37.93,23.55,30.2,16.47,0.21,54.45,Sheraro
2010-11-01,14.4,37.93,22.43,29.94,15.28,0.07,47.38,Sheraro
2010-12-01,14.4,37.93,21.33,29.7,13.53,0.0,44.44,Sheraro
2011-01-01,14.4,37.93,21.76,31.59,12.39,0.05,46.39,Sheraro
2011-02-01,14.4,37.93,23.85,34.36,13.5,0.0,36.16,Sheraro
2011-03-01,14.4,37.93,25.23,34.48,16.64,0.35,38.5,Sheraro
2011-04-01,14.4,37.93,28.22,36.38,19.78,0.22,31.42,Sheraro
2011-05-01,14.4,37.93,27.51,36.35,20.27,2.31,44.31,Sheraro
2011-06-01,14.4,37.93,26.23,34.84,19.62,0.28,51.28,Sheraro
2011-07-01,14.4,37.93,23.77,32.82,17.66,2.17,64.46,Sheraro
2011-08-01,14.4,37.93,22.65,31.32,18.28,2.01,73.17,Sheraro
2011-09-01,14.4,37.93,24.66,34.76,17.78,0.75,58.53,Sheraro
