period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,10.6,34.87,27.01,37.23,16.08,0.08,36.36,Sherkole
2008-02-01,10.6,34.87,28.17,38.85,16.04,0.0,27.46,Sherkole
2008-03-01,10.6,34.87,31.06,41.23,19.71,0.03,20.72,Sherkole
2008-04-01,10.6,34.87,28.57,40.18,20.94,2.23,49.18,Sherkole
2008-05-01,10.6,34.87,28.09,39.04,19.3,2.28,53.29,Sherkole
2008-06-01,10.6,34.87,25.73,35.03,19.7,4.37,65.19,Sherkole
2008-07-01,10.6,34.87,23.69,32.88,18.37,4.63,74.74,Sherkole
2008-08-01,10.6,34.87,23.54,30.74,18.56,4.38,78.59,Sherkole
2008-09-01,10.6,34.87,25.09,33.86,19.1,2.23,70.31,Sherkole
2008-10-01,10.6,34.87,26.08,34.86,18.58,2.21,60.63,Sherkole
2008-11-01,10.6,34.87,26.66,36.7,17.44,0.82,43.59,Sherkole
2008-12-01,10.6,34.87,27.45,36.69,17.76,0.1,37.14,Sherkole
2009-01-01,10.6,34.87,27.62,38.05,17.61,0.01,29.32,Sherkole
2009-02-01,10.6,34.87,30.05,40.34,19.54,0.25,27.94,Sherkole
2009-03-01,10.6,34.87,31.04,41.86,19.41,0.21,22.39,Sherkole
2009-04-01,10.6,34.87,30.47,40.57,20.36,1.14,40.16,Sherkole
2009-05-01,10.6,34.87,30.25,41.31,22.09,0.58,36.59,Sherkole
2009-06-01,10.6,34.87,26.59,36.31,18.98,3.82,61.4,Sherkole
2009-07-01,10.6,34.87,24.39,32.56,17.63,4.22,70.73,Sherkole
2009-08-01,10.6,34.87,24.55,32.66,19.11,3.31,72.72,Sherkole
2009-09-01,10.6,34.87,26.12,35.18,19.76,3.44,67.11,Sherkole
2009-10-01,10.6,34.87,26.61,35.65,18.48,2.9,57.8,Sherkole
2009-11-01,10.6,34.87,27.84,37.78,17.24,0.08,38.17,Sherkole
2009-12-01,10.6,34.87,27.04,37.58,17.36,0.07,31.75,Sherkole
2010-01-01,10.6,34.87,27.89,39.33,16.77,0.01,28.53,Sherkole
2010-02-01,10.6,34.87,29.67,40.32,17.61,0.01,21.82,Sherkole
2010-03-01,10.6,34.87,30.43,41.68,19.52,0.14,21.25,Sherkole
2010-04-01,10.6,34.87,31.99,41.11,22.56,0.62,28.17,Sherkole
2010-05-01,10.6,34.87,28.68,39.08,21.66,2.38,54.49,Sherkole
2010-06-01,10.6,34.87,26.4,36.36,20.06,3.52,64.85,Sherkole
2010-07-01,10.6,34.87,23.86,33.61,18.72,5.0,75.6,Sherkole
2010-08-01,10.6,34.87,23.39,30.67,19.04,4.92,80.82,Sherkole
2010-09-01,10.6,34.87,23.75,31.44,17.75,4.06,78.79,Sherkole
2010-10-01,10.6,34.87,26.14,34.64,19.29,1.94,63.72,Sherkole
2010-11-01,10.6,34.87,27.28,36.0,19.37,0.43,46.2,Sherkole
2010-12-01,10.6,34.87,26.63,35.93,16.81,0.03,36.8,Sherkole
2011-01-01,10.6,34.87,26.44,37.6,15.52,0.14,33.01,Sherkole
2011-02-01,10.6,34.87,29.17,40.66,16.47,0.0,23.06,Sherkole
2011-03-01,10.6,34.87,30.05,41.0,19.91,0.3,24.85,Sherkole
2011-04-01,10.6,34.87,31.71,40.94,21.97,0.61,27.9,Sherkole
2011-05-01,10.6,34.87,28.3,41.25,20.35,2.91,50.06,Sherkole
2011-06-01,10.6,34.87,26.16,35.48,19.87,2.75,65.1,Sherkole
2011-07-01,10.6,34.87,25.14,34.4,19.31,2.24,65.45,Sherkole
2011-08-01,10.6,34.87,24.34,34.47,18.68,3.22,72.3,Sherkole
2011-09-01,10.6,34.87,24.65,35.4,19.1,2.74,70.6,Sherkole
2011-10-01,10.6,34.87,27.41,36.61,20.5,1.05,54.22,Sherkole
2011-11-01,10.6,34.87,26.89,37.12,14.05,0.14,38.82,Sherkole
2011-12-01,10.6,34.87,26.92,37.09,14.2,0.01,32.6,Sherkole
2012-01-01,10.6,34.87,26.78,38.52,16.21,0.0,29.28,Sherkole
2012-02-01,10.6,34.87,29.49,40.07,18.52,0.0,21.66,Sherkole
2012-03-01,10.6,34.87,30.41,41.47,17.89,0.1,20.53,Sherkole
2012-04-01,10.6,34.87,30.85,40.92,20.33,0.14,25.94,Sherkole
2012-05-01,10.6,34.87,28.29,40.59,21.71,1.79,52.74,Sherkole
2012-06-01,10.6,34.87,26.58,37.41,19.73,2.11,59.99,Sherkole
2012-07-01,10.6,34.87,23.56,31.77,18.21,4.51,76.36,Sherkole
2012-08-01,10.6,34.87,23.01,29.92,18.44,6.26,81.31,Sherkole
2012-09-01,10.6,34.87,23.17,29.93,18.08,5.52,81.79,Sherkole
2012-10-01,10.6,34.87,25.56,34.86,16.65,1.66,63.7,Sherkole
2012-11-01,10.6,34.87,26.74,36.25,18.22,0.74,51.88,Sherkole
2012-12-01,10.6,34.87,26.58,36.25,15.86,0.12,39.77,Sherkole
2013-01-01,10.6,34.87,27.57,39.08,15.85,0.01,31.12,Sherkole
2013-02-01,10.6,34.87,29.59,40.82,17.46,0.03,23.45,Sherkole
2013-03-01,10.6,34.87,31.11,41.45,20.49,0.15,19.83,Sherkole
2013-04-01,10.6,34.87,30.97,41.26,21.08,0.16,20.68,Sherkole
2013-05-01,10.6,34.87,27.55,38.14,19.46,4.27,58.91,Sherkole
2013-06-01,10.6,34.87,25.21,35.17,19.64,4.5,69.28,Sherkole
2013-07-01,10.6,34.87,22.91,30.45,18.12,4.39,78.33,Sherkole
2013-08-01,10.6,34.87,22.62,28.97,18.31,4.81,82.09,Sherkole
2013-09-01,10.6,34.87,23.68,31.62,18.2,3.72,79.41,Sherkole
2013-10-01,10.6,34.87,25.49,34.25,19.09,1.46,65.87,Sherkole
2013-11-01,10.6,34.87,26.84,36.0,17.38,0.59,49.58,Sherkole
2013-12-01,10.6,34.87,25.78,36.85,13.86,0.01,36.54,Sherkole
2014-01-01,10.6,34.87,27.14,39.23,16.76,0.02,27.62,Sherkole
2014-02-01,10.6,34.87,27.92,39.59,16.74,0.05,25.54,Sherkole
2014-03-01,10.6,34.87,29.14,40.77,18.4,1.28,36.07,Sherkole
2014-04-01,10.6,34.87,28.66,40.58,21.26,2.13,50.93,Sherkole
2014-05-01,10.6,34.87,26.79,37.22,21.16,4.15,63.82,Sherkole
2014-06-01,10.6,34.87,25.83,35.63,19.57,4.27,69.19,Sherkole
2014-07-01,10.6,34.87,23.19,30.93,18.67,7.36,81.2,Sherkole
2014-08-01,10.6,34.87,22.53,29.2,18.15,6.57,84.84,Sherkole
2014-09-01,10.6,34.87,22.77,29.93,18.29,7.84,84.35,Sherkole
2014-10-01,10.6,34.87,23.57,29.89,18.58,5.77,81.6,Sherkole
2014-11-01,10.6,34.87,24.06,30.97,14.59,0.24,64.83,Sherkole
2014-12-01,10.6,34.87,24.16,33.53,14.84,0.34,53.22,Sherkole
2015-01-01,10.6,34.87,24.24,36.71,11.84,0.03,43.45,Sherkole
2015-02-01,10.6,34.87,27.98,39.49,16.8,0.0,27.71,Sherkole
2015-03-01,10.6,34.87,31.27,41.52,22.8,0.74,29.35,Sherkole
2015-04-01,10.6,34.87,30.58,41.29,19.51,0.1,27.93,Sherkole
2015-05-01,10.6,34.87,26.37,36.71,19.46,11.13,66.16,Sherkole
2015-06-01,10.6,34.87,24.4,33.14,19.39,9.95,78.59,Sherkole
2015-07-01,10.6,34.87,23.6,29.79,18.87,8.41,81.41,Sherkole
2015-08-01,10.6,34.87,23.3,29.36,18.8,8.59,84.08,Sherkole
2015-09-01,10.6,34.87,23.85,30.02,19.02,15.64,82.25,Sherkole
2015-10-01,10.6,34.87,24.3,30.87,19.15,9.77,80.84,Sherkole
2015-11-01,10.6,34.87,23.95,30.29,15.73,1.12,72.25,Sherkole
2015-12-01,10.6,34.87,21.76,29.64,13.25,2.31,73.23,Sherkole
2016-01-01,10.6,34.87,21.93,31.0,10.48,0.0,59.02,Sherkole
2016-02-01,10.6,34.87,25.15,37.35,16.12,0.0,48.06,Sherkole
2016-03-01,10.6,34.87,29.51,40.2,17.76,1.45,40.54,Sherkole
2016-04-01,10.6,34.87,29.83,39.86,20.06,1.14,37.14,Sherkole
2016-05-01,10.6,34.87,25.38,35.27,19.79,13.32,75.19,Sherkole
2016-06-01,10.6,34.87,23.85,32.69,18.77,9.56,80.77,Sherkole
2016-07-01,10.6,34.87,22.48,28.59,18.3,16.72,86.4,Sherkole
2016-08-01,10.6,34.87,22.66,28.98,18.35,12.36,85.31,Sherkole
2016-09-01,10.6,34.87,23.35,29.45,17.59,12.33,84.1,Sherkole
2016-10-01,10.6,34.87,24.0,30.34,18.79,8.12,79.7,Sherkole
2016-11-01,10.6,34.87,23.37,30.13,14.51,0.08,63.06,Sherkole
2016-12-01,10.6,34.87,23.0,30.85,13.69,0.02,58.46,Sherkole
2017-01-01,10.6,34.87,23.35,33.55,12.83,0.0,45.74,Sherkole
2017-02-01,10.6,34.87,25.48,35.1,15.64,0.33,46.63,Sherkole
2017-03-01,10.6,34.87,28.55,38.73,18.35,0.08,32.48,Sherkole
2017-04-01,10.6,34.87,29.59,39.51,21.9,4.55,48.02,Sherkole
2017-05-01,10.6,34.87,26.53,37.59,20.1,6.61,66.19,Sherkole
2017-06-01,10.6,34.87,24.6,31.3,18.69,10.1,79.18,Sherkole
2017-07-01,10.6,34.87,22.66,29.08,18.67,16.07,85.73,Sherkole
2017-08-01,10.6,34.87,22.53,28.42,18.04,10.75,86.89,Sherkole
2017-09-01,10.6,34.87,23.15,29.47,18.96,9.9,85.51,Sherkole
2017-10-01,10.6,34.87,24.25,30.11,18.36,8.32,80.08,Sherkole
2017-11-01,10.6,34.87,23.67,29.87,16.02,1.06,68.59,Sherkole
2017-12-01,10.6,34.87,23.17,30.15,14.69,0.13,59.42,Sherkole
2018-01-01,10.6,34.87,21.98,31.57,13.39,0.0,57.57,Sherkole
2018-02-01,10.6,34.87,26.6,36.86,15.75,0.37,44.47,Sherkole
2018-03-01,10.6,34.87,27.78,39.29,15.01,0.96,34.52,Sherkole
2018-04-01,10.6,34.87,29.07,39.34,18.9,0.22,32.9,Sherkole
2018-05-01,10.6,34.87,26.94,41.03,19.17,9.07,63.26,Sherkole
2018-06-01,10.6,34.87,23.86,30.94,18.8,11.4,79.62,Sherkole
2018-07-01,10.6,34.87,22.6,28.17,18.04,8.88,84.37,Sherkole
2018-08-01,10.6,34.87,22.74,29.11,18.09,9.97,84.71,Sherkole
2018-09-01,10.6,34.87,23.74,30.42,18.56,8.1,81.3,Sherkole
2018-10-01,10.6,34.87,23.86,30.01,17.68,9.23,79.7,Sherkole
2018-11-01,10.6,34.87,24.0,30.44,15.25,0.7,68.27,Sherkole
2018-12-01,10.6,34.87,23.46,30.87,16.19,0.09,65.42,Sherkole
