period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,12.02,39.64,14.0,24.26,4.44,0.43,56.52,Shewa Robit
2008-02-01,12.02,39.64,13.94,25.85,2.91,0.06,50.63,Shewa Robit
2008-03-01,12.02,39.64,15.71,27.64,3.32,0.0,29.33,Shewa Robit
2008-04-01,12.02,39.64,15.99,27.43,7.17,1.04,54.61,Shewa Robit
2008-05-01,12.02,39.64,18.04,27.4,11.24,1.19,55.77,Shewa Robit
2008-06-01,12.02,39.64,18.46,27.75,12.27,0.73,53.4,Shewa Robit
2008-07-01,12.02,39.64,17.11,25.8,11.78,6.27,69.16,Shewa Robit
2008-08-01,12.02,39.64,16.18,22.02,11.59,6.3,73.88,Shewa Robit
2008-09-01,12.02,39.64,15.81,22.23,10.62,2.35,70.38,Shewa Robit
2008-10-01,12.02,39.64,14.75,23.52,7.42,0.43,66.25,Shewa Robit
2008-11-01,12.02,39.64,12.58,22.31,3.09,1.95,66.74,Shewa Robit
2008-12-01,12.02,39.64,12.38,23.28,3.65,0.06,60.06,Shewa Robit
2009-01-01,12.02,39.64,14.1,24.81,4.58,0.42,55.49,Shewa Robit
2009-02-01,12.02,39.64,15.29,26.18,6.49,0.1,53.84,Shewa Robit
2009-03-01,12.02,39.64,16.99,27.62,8.26,0.87,54.78,Shewa Robit
2009-04-01,12.02,39.64,17.05,27.26,8.88,1.17,58.36,Shewa Robit
2009-05-01,12.02,39.64,18.54,28.22,10.69,0.11,43.87,Shewa Robit
2009-06-01,12.02,39.64,19.72,28.43,13.04,1.22,46.71,Shewa Robit
2009-07-01,12.02,39.64,16.54,25.05,11.3,8.97,73.97,Shewa Robit
2009-08-01,12.02,39.64,16.38,22.53,11.68,6.93,75.11,Shewa Robit
2009-09-01,12.02,39.64,16.24,21.86,11.06,1.19,65.8,Shewa Robit
2009-10-01,12.02,39.64,14.12,22.32,6.04,2.22,67.28,Shewa Robit
2009-11-01,12.02,39.64,13.29,22.85,4.24,0.09,56.47,Shewa Robit
2009-12-01,12.02,39.64,14.27,24.06,6.66,0.69,68.88,Shewa Robit
2010-01-01,12.02,39.64,14.13,24.48,5.78,0.01,58.65,Shewa Robit
2010-02-01,12.02,39.64,16.0,26.74,8.5,1.28,62.65,Shewa Robit
2010-03-01,12.02,39.64,15.46,25.42,5.48,1.97,64.52,Shewa Robit
2010-04-01,12.02,39.64,17.43,25.95,10.42,2.02,67.12,Shewa Robit
2010-05-01,12.02,39.64,18.21,26.95,12.6,1.87,62.87,Shewa Robit
2010-06-01,12.02,39.64,18.85,27.69,12.48,1.86,55.59,Shewa Robit
2010-07-01,12.02,39.64,16.02,25.19,10.54,8.14,76.14,Shewa Robit
2010-08-01,12.02,39.64,15.61,20.74,11.36,9.62,81.63,Shewa Robit
2010-09-01,12.02,39.64,15.32,21.44,10.14,1.96,76.03,Shewa Robit
2010-10-01,12.02,39.64,14.48,21.57,7.26,0.36,67.41,Shewa Robit
2010-11-01,12.02,39.64,13.01,22.88,5.47,0.31,61.13,Shewa Robit
2010-12-01,12.02,39.64,13.02,23.1,3.66,0.08,56.06,Shewa Robit
2011-01-01,12.02,39.64,14.25,24.32,6.45,0.27,63.56,Shewa Robit
2011-02-01,12.02,39.64,15.14,25.7,4.95,0.11,49.54,Shewa Robit
2011-03-01,12.02,39.64,14.6,26.04,6.3,2.11,58.45,Shewa Robit
2011-04-01,12.02,39.64,16.93,26.24,8.1,0.69,59.63,Shewa Robit
2011-05-01,12.02,39.64,17.61,27.81,10.01,1.75,60.2,Shewa Robit
2011-06-01,12.02,39.64,18.67,27.18,12.31,0.54,52.47,Shewa Robit
2011-07-01,12.02,39.64,17.02,25.63,10.8,2.92,69.65,Shewa Robit
2011-08-01,12.02,39.64,16.56,24.38,11.44,3.87,73.03,Shewa Robit
2011-09-01,12.02,39.64,16.71,24.59,10.09,1.32,65.12,Shewa Robit
2011-10-01,12.02,39.64,14.61,23.93,5.42,0.24,57.89,Shewa Robit
2011-11-01,12.02,39.64,14.42,23.43,6.19,0.74,65.59,Shewa Robit
2011-12-01,12.02,39.64,12.82,24.14,3.78,0.01,55.07,Shewa Robit
2012-01-01,12.02,39.64,14.16,24.7,4.84,0.02,56.24,Shewa Robit
2012-02-01,12.02,39.64,14.2,27.01,4.46,0.0,45.41,Shewa Robit
2012-03-01,12.02,39.64,15.91,26.62,6.17,0.47,46.14,Shewa Robit
2012-04-01,12.02,39.64,17.28,25.64,10.64,2.0,64.25,Shewa Robit
2012-05-01,12.02,39.64,18.18,27.16,11.34,0.5,55.1,Shewa Robit
2012-06-01,12.02,39.64,19.01,27.97,12.58,0.62,47.23,Shewa Robit
2012-07-01,12.02,39.64,16.72,24.36,11.46,6.74,73.21,Shewa Robit
2012-08-01,12.02,39.64,15.96,21.71,11.46,4.89,77.34,Shewa Robit
2012-09-01,12.02,39.64,16.5,22.81,11.18,1.34,67.99,Shewa Robit
2012-10-01,12.02,39.64,14.6,23.97,5.57,0.19,57.37,Shewa Robit
2012-11-01,12.02,39.64,14.8,24.3,6.59,0.04,52.78,Shewa Robit
2012-12-01,12.02,39.64,13.76,24.38,5.49,0.15,55.42,Shewa Robit
2013-01-01,12.02,39.64,14.19,25.85,6.2,1.17,61.04,Shewa Robit
2013-02-01,12.02,39.64,15.18,26.98,5.39,0.03,50.08,Shewa Robit
2013-03-01,12.02,39.64,17.29,28.16,7.92,1.32,58.57,Shewa Robit
2013-04-01,12.02,39.64,17.87,26.68,10.02,1.48,64.29,Shewa Robit
2013-05-01,12.02,39.64,18.73,27.16,11.7,1.15,52.09,Shewa Robit
2013-06-01,12.02,39.64,18.67,28.03,12.27,2.29,52.08,Shewa Robit
2013-07-01,12.02,39.64,16.03,24.39,11.52,9.65,76.43,Shewa Robit
2013-08-01,12.02,39.64,15.16,21.26,11.22,6.24,79.97,Shewa Robit
2013-09-01,12.02,39.64,15.45,21.44,10.37,2.53,72.08,Shewa Robit
2013-10-01,12.02,39.64,13.67,20.36,7.5,3.44,73.0,Shewa Robit
2013-11-01,12.02,39.64,13.41,21.6,5.48,0.28,70.91,Shewa Robit
2013-12-01,12.02,39.64,12.48,23.22,3.8,0.02,57.05,Shewa Robit
2014-01-01,12.02,39.64,14.42,24.73,5.52,0.1,58.99,Shewa Robit
2014-02-01,12.02,39.64,15.77,25.72,7.47,0.79,64.24,Shewa Robit
2014-03-01,12.02,39.64,16.43,26.85,8.0,1.51,62.46,Shewa Robit
2014-04-01,12.02,39.64,16.47,25.37,8.6,1.51,63.54,Shewa Robit
2014-05-01,12.02,39.64,17.12,26.14,10.3,2.93,67.2,Shewa Robit
2014-06-01,12.02,39.64,18.53,26.5,11.99,1.65,56.17,Shewa Robit
2014-07-01,12.02,39.64,17.05,25.93,11.61,9.39,71.66,Shewa Robit
2014-08-01,12.02,39.64,15.83,22.47,11.4,4.68,75.39,Shewa Robit
2014-09-01,12.02,39.64,15.1,21.1,10.47,3.75,75.34,Shewa Robit
2014-10-01,12.02,39.64,13.48,20.59,7.68,2.19,75.26,Shewa Robit
2014-11-01,12.02,39.64,13.22,22.86,6.01,0.42,69.41,Shewa Robit
2014-12-01,12.02,39.64,12.34,22.78,3.63,0.16,61.58,Shewa Robit
2015-01-01,12.02,39.64,13.04,23.26,4.4,0.65,59.1,Shewa Robit
2015-02-01,12.02,39.64,15.37,26.29,5.45,0.19,48.46,Shewa Robit
2015-03-01,12.02,39.64,16.17,26.65,6.76,0.85,51.96,Shewa Robit
2015-04-01,12.02,39.64,17.15,26.85,7.84,0.01,45.3,Shewa Robit
2015-05-01,12.02,39.64,18.26,28.18,8.84,1.33,57.49,Shewa Robit
2015-06-01,12.02,39.64,18.21,27.51,12.0,1.57,56.12,Shewa Robit
2015-07-01,12.02,39.64,18.24,26.58,11.93,2.07,60.35,Shewa Robit
2015-08-01,12.02,39.64,16.78,23.76,11.7,7.2,73.51,Shewa Robit
2015-09-01,12.02,39.64,16.33,24.08,10.4,3.12,68.45,Shewa Robit
2015-10-01,12.02,39.64,15.12,23.43,8.49,0.77,66.0,Shewa Robit
2015-11-01,12.02,39.64,14.08,23.71,5.63,1.35,70.95,Shewa Robit
2015-12-01,12.02,39.64,13.43,23.16,6.33,2.06,73.88,Shewa Robit
2016-01-01,12.02,39.64,14.65,23.83,8.35,0.31,70.32,Shewa Robit
2016-02-01,12.02,39.64,15.46,27.57,5.87,0.63,58.19,Shewa Robit
2016-03-01,12.02,39.64,18.08,28.65,9.36,1.02,59.56,Shewa Robit
2016-04-01,12.02,39.64,17.38,26.84,12.19,4.39,72.54,Shewa Robit
2016-05-01,12.02,39.64,17.05,24.68,10.74,3.56,64.25,Shewa Robit
2016-06-01,12.02,39.64,18.53,27.16,12.07,1.01,55.02,Shewa Robit
2016-07-01,12.02,39.64,16.32,24.35,11.64,8.85,75.45,Shewa Robit
2016-08-01,12.02,39.64,15.81,21.97,11.2,7.27,78.2,Shewa Robit
2016-09-01,12.02,39.64,15.86,21.97,11.27,3.5,71.78,Shewa Robit
2016-10-01,12.02,39.64,14.33,22.13,7.58,0.66,64.19,Shewa Robit
2016-11-01,12.02,39.64,13.03,22.9,2.95,0.16,56.99,Shewa Robit
2016-12-01,12.02,39.64,12.35,23.58,3.31,0.02,54.75,Shewa Robit
2017-01-01,12.02,39.64,12.45,25.23,2.77,0.0,36.75,Shewa Robit
2017-02-01,12.02,39.64,14.95,25.54,6.71,3.66,69.38,Shewa Robit
2017-03-01,12.02,39.64,16.25,25.25,8.05,1.39,63.27,Shewa Robit
2017-04-01,12.02,39.64,16.33,26.6,7.75,0.72,58.34,Shewa Robit
2017-05-01,12.02,39.64,17.09,25.08,10.93,3.1,69.76,Shewa Robit
2017-06-01,12.02,39.64,19.33,27.38,12.94,0.62,47.66,Shewa Robit
2017-07-01,12.02,39.64,17.83,25.85,10.75,3.33,67.41,Shewa Robit
2017-08-01,12.02,39.64,16.89,24.18,11.54,4.64,74.45,Shewa Robit
2017-09-01,12.02,39.64,15.73,22.25,11.01,4.95,74.9,Shewa Robit
2017-10-01,12.02,39.64,14.74,22.0,7.37,1.11,72.65,Shewa Robit
2017-11-01,12.02,39.64,13.29,22.71,5.14,0.4,62.9,Shewa Robit
2017-12-01,12.02,39.64,11.82,23.58,2.43,0.0,48.72,Shewa Robit
2018-01-01,12.02,39.64,13.74,24.14,3.46,0.12,56.96,Shewa Robit
2018-02-01,12.02,39.64,15.16,26.08,4.41,1.09,55.99,Shewa Robit
2018-03-01,12.02,39.64,15.79,26.71,6.31,0.28,53.71,Shewa Robit
2018-04-01,12.02,39.64,16.54,25.51,10.09,4.02,70.87,Shewa Robit
2018-05-01,12.02,39.64,17.99,26.76,9.62,0.24,58.36,Shewa Robit
2018-06-01,12.02,39.64,18.16,26.42,12.02,1.45,59.46,Shewa Robit
2018-07-01,12.02,39.64,17.05,25.47,10.69,4.64,70.5,Shewa Robit
2018-08-01,12.02,39.64,16.27,22.9,10.58,5.86,76.16,Shewa Robit
2018-09-01,12.02,39.64,15.38,22.0,10.36,6.45,73.1,Shewa Robit
2018-10-01,12.02,39.64,14.26,21.73,6.82,1.17,71.79,Shewa Robit
2018-11-01,12.02,39.64,13.4,23.22,4.83,1.46,66.13,Shewa Robit
2018-12-01,12.02,39.64,13.21,23.8,4.86,0.03,62.85,Shewa Robit
2019-01-01,12.02,39.64,13.64,26.05,3.68,0.0,45.2,Shewa Robit
2019-02-01,12.02,39.64,15.5,26.01,6.99,3.59,62.08,Shewa Robit
2019-03-01,12.02,39.64,16.66,25.57,10.89,1.53,71.72,Shewa Robit
2019-04-01,12.02,39.64,17.12,25.21,9.89,2.75,70.94,Shewa Robit
2019-05-01,12.02,39.64,17.68,27.03,10.59,0.38,56.6,Shewa Robit
2019-06-01,12.02,39.64,18.49,27.36,9.41,1.35,57.63,Shewa Robit
2019-07-01,12.02,39.64,17.98,26.98,12.15,1.93,65.37,Shewa Robit
2019-08-01,12.02,39.64,16.73,24.44,9.22,3.74,70.56,Shewa Robit
2019-09-01,12.02,39.64,16.76,24.25,11.22,4.3,72.03,Shewa Robit
2019-10-01,12.02,39.64,13.52,21.45,6.31,1.52,72.39,Shewa Robit
2019-11-01,12.02,39.64,14.02,22.32,7.62,1.16,73.38,Shewa Robit
2019-12-01,12.02,39.64,13.44,23.7,4.85,1.34,70.64,Shewa Robit
2020-01-01,12.02,39.64,14.23,24.28,5.82,0.48,68.21,Shewa Robit
2020-02-01,12.02,39.64,15.43,26.97,7.72,0.63,64.38,Shewa Robit
2020-03-01,12.02,39.64,17.04,28.12,9.81,1.69,63.6,Shewa Robit
2020-04-01,12.02,39.64,16.92,27.27,9.42,3.16,67.87,Shewa Robit
2020-05-01,12.02,39.64,17.25,26.33,10.63,2.62,62.81,Shewa Robit
2020-06-01,12.02,39.64,18.04,26.0,12.11,1.93,59.83,Shewa Robit
2020-07-01,12.02,39.64,16.24,23.96,11.49,7.25,74.69,Shewa Robit
2020-08-01,12.02,39.64,15.52,21.99,10.97,5.98,80.09,Shewa Robit
2020-09-01,12.02,39.64,15.74,21.82,11.41,3.71,73.25,Shewa Robit
2020-10-01,12.02,39.64,14.11,21.62,7.13,0.97,67.86,Shewa Robit
2020-11-01,12.02,39.64,13.12,22.26,4.79,0.19,61.45,Shewa Robit
2020-12-01,12.02,39.64,13.18,23.51,5.34,0.0,59.7,Shewa Robit
2021-01-01,12.02,39.64,13.43,24.36,5.17,0.09,51.36,Shewa Robit
2021-02-01,12.02,39.64,14.35,24.73,6.75,1.37,61.57,Shewa Robit
2021-03-01,12.02,39.64,15.36,27.09,5.44,0.02,45.28,Shewa Robit
2021-04-01,12.02,39.64,16.89,28.09,7.53,1.53,49.87,Shewa Robit
2021-05-01,12.02,39.64,17.24,25.73,11.18,2.37,60.61,Shewa Robit
2021-06-01,12.02,39.64,18.9,27.05,12.67,0.48,51.62,Shewa Robit
2021-07-01,12.02,39.64,16.18,25.33,11.69,10.58,76.17,Shewa Robit
2021-08-01,12.02,39.64,15.91,22.63,11.99,6.33,79.02,Shewa Robit
2021-09-01,12.02,39.64,15.58,22.03,11.34,4.49,72.31,Shewa Robit
2021-10-01,12.02,39.64,14.22,21.36,6.24,0.84,72.15,Shewa Robit
2021-11-01,12.02,39.64,13.61,23.26,5.88,1.42,62.96,Shewa Robit
2021-12-01,12.02,39.64,12.89,23.17,2.34,3.3,65.33,Shewa Robit
2022-01-01,12.02,39.64,13.14,21.89,5.65,2.3,74.69,Shewa Robit
2022-02-01,12.02,39.64,14.53,23.81,7.65,0.36,67.4,Shewa Robit
2022-03-01,12.02,39.64,15.33,26.55,6.2,1.08,58.42,Shewa Robit
2022-04-01,12.02,39.64,17.4,26.84,7.74,1.06,54.73,Shewa Robit
2022-05-01,12.02,39.64,18.93,28.59,11.29,0.29,46.5,Shewa Robit
