period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,14.1,38.28,23.25,31.73,15.14,0.11,44.35,Shire
2008-02-01,14.1,38.28,23.94,32.53,15.48,0.0,37.65,Shire
2008-03-01,14.1,38.28,26.01,34.66,16.2,0.05,26.85,Shire
2008-04-01,14.1,38.28,26.68,35.49,18.41,1.98,38.84,Shire
2008-05-01,14.1,38.28,27.57,35.69,20.45,0.78,41.61,Shire
2008-06-01,14.1,38.28,25.08,34.47,19.42,1.65,55.72,Shire
2008-07-01,14.1,38.28,22.23,31.14,17.58,5.42,73.19,Shire
2008-08-01,14.1,38.28,21.33,28.1,17.54,7.28,82.39,Shire
2008-09-01,14.1,38.28,23.2,30.68,18.08,2.46,68.87,Shire
2008-10-01,14.1,38.28,24.05,30.36,16.44,0.15,48.33,Shire
2008-11-01,14.1,38.28,22.88,30.39,14.73,0.18,41.62,Shire
2008-12-01,14.1,38.28,22.34,30.44,13.99,0.0,40.44,Shire
2009-01-01,14.1,38.28,22.81,31.06,14.37,0.0,37.01,Shire
2009-02-01,14.1,38.28,25.44,33.95,17.26,0.18,37.08,Shire
2009-03-01,14.1,38.28,27.2,35.41,18.92,0.04,34.4,Shire
2009-04-01,14.1,38.28,27.91,35.51,18.9,0.12,32.42,Shire
2009-05-01,14.1,38.28,28.88,36.08,21.35,0.08,31.87,Shire
2009-06-01,14.1,38.28,25.82,35.09,19.45,4.18,55.68,Shire
2009-07-01,14.1,38.28,21.33,28.92,17.73,9.81,79.71,Shire
2009-08-01,14.1,38.28,21.92,27.92,18.16,7.08,81.32,Shire
2009-09-01,14.1,38.28,23.85,30.19,17.42,1.91,63.07,Shire
2009-10-01,14.1,38.28,23.49,29.83,16.43,0.91,50.15,Shire
2009-11-01,14.1,38.28,23.15,30.29,15.25,0.03,42.04,Shire
2009-12-01,14.1,38.28,22.91,30.76,15.71,0.02,42.49,Shire
2010-01-01,14.1,38.28,23.45,32.02,15.24,0.0,41.9,Shire
2010-02-01,14.1,38.28,24.89,32.87,16.22,0.0,35.23,Shire
2010-03-01,14.1,38.28,25.89,35.04,16.75,0.5,34.65,Shire
2010-04-01,14.1,38.28,28.55,35.36,21.81,1.04,37.32,Shire
2010-05-01,14.1,38.28,28.01,35.98,21.52,1.0,39.64,Shire
2010-06-01,14.1,38.28,25.05,33.14,18.59,1.92,59.62,Shire
2010-07-01,14.1,38.28,21.32,30.49,17.16,8.35,79.28,Shire
2010-08-01,14.1,38.28,20.46,25.49,17.12,13.09,87.97,Shire
2010-09-01,14.1,38.28,22.57,28.6,17.25,3.67,72.84,Shire
2010-10-01,14.1,38.28,22.99,29.12,16.38,0.16,57.33,Shire
2010-11-01,14.1,38.28,21.99,28.64,14.87,0.08,49.4,Shire
2010-12-01,14.1,38.28,21.44,28.46,13.75,0.0,44.6,Shire
2011-01-01,14.1,38.28,22.29,31.32,14.2,0.01,44.54,Shire
2011-02-01,14.1,38.28,24.09,33.73,15.09,0.0,35.47,Shire
2011-03-01,14.1,38.28,25.21,33.91,17.38,0.44,38.45,Shire
2011-04-01,14.1,38.28,28.11,35.98,20.52,0.14,32.07,Shire
2011-05-01,14.1,38.28,27.0,35.28,20.25,3.07,45.65,Shire
2011-06-01,14.1,38.28,25.94,33.82,18.95,0.3,51.77,Shire
2011-07-01,14.1,38.28,23.37,31.81,17.88,2.56,64.96,Shire
2011-08-01,14.1,38.28,22.35,30.05,17.9,2.42,73.36,Shire
2011-09-01,14.1,38.28,24.35,33.02,17.75,0.9,59.56,Shire
2011-10-01,14.1,38.28,25.74,33.49,17.79,0.42,38.73,Shire
2011-11-01,14.1,38.28,23.56,32.07,13.76,0.41,43.74,Shire
2011-12-01,14.1,38.28,22.61,30.85,14.49,0.0,39.77,Shire
2012-01-01,14.1,38.28,23.26,32.16,14.71,0.0,40.33,Shire
2012-02-01,14.1,38.28,24.45,33.55,16.25,0.0,31.96,Shire
2012-03-01,14.1,38.28,26.35,35.25,17.71,0.02,30.79,Shire
2012-04-01,14.1,38.28,27.53,35.77,19.69,0.03,30.05,Shire
2012-05-01,14.1,38.28,28.99,36.25,20.69,0.07,36.83,Shire
2012-06-01,14.1,38.28,25.87,36.08,18.66,0.86,52.85,Shire
2012-07-01,14.1,38.28,21.47,27.56,17.94,4.96,79.44,Shire
2012-08-01,14.1,38.28,20.93,28.53,17.6,4.54,84.19,Shire
2012-09-01,14.1,38.28,23.4,31.99,17.74,1.89,66.79,Shire
2012-10-01,14.1,38.28,25.11,32.66,16.84,0.35,42.66,Shire
2012-11-01,14.1,38.28,24.64,32.32,17.84,0.5,42.5,Shire
2012-12-01,14.1,38.28,23.21,31.26,15.45,0.08,41.22,Shire
2013-01-01,14.1,38.28,23.74,32.35,15.54,0.0,40.2,Shire
2013-02-01,14.1,38.28,25.19,34.89,16.38,0.0,34.46,Shire
2013-03-01,14.1,38.28,27.16,35.03,19.64,0.06,32.07,Shire
2013-04-01,14.1,38.28,27.73,35.87,18.61,0.28,32.14,Shire
2013-05-01,14.1,38.28,27.79,36.21,20.37,0.94,38.12,Shire
2013-06-01,14.1,38.28,25.73,34.85,19.1,1.11,52.38,Shire
2013-07-01,14.1,38.28,21.83,30.58,17.21,6.41,73.07,Shire
2013-08-01,14.1,38.28,20.43,25.7,16.93,13.22,86.2,Shire
2013-09-01,14.1,38.28,22.92,29.79,18.33,2.57,72.71,Shire
2013-10-01,14.1,38.28,22.94,28.15,16.25,2.24,59.83,Shire
2013-11-01,14.1,38.28,22.75,28.84,15.84,0.49,53.35,Shire
2013-12-01,14.1,38.28,20.94,28.89,13.47,0.0,44.51,Shire
2014-01-01,14.1,38.28,22.94,31.6,14.23,0.0,43.34,Shire
2014-02-01,14.1,38.28,23.95,33.24,15.61,0.15,38.1,Shire
2014-03-01,14.1,38.28,25.93,34.31,17.29,1.48,39.45,Shire
2014-04-01,14.1,38.28,27.35,34.58,20.27,1.27,38.0,Shire
2014-05-01,14.1,38.28,26.7,34.54,20.06,3.07,48.22,Shire
2014-06-01,14.1,38.28,26.12,35.39,19.24,1.38,52.14,Shire
2014-07-01,14.1,38.28,22.05,30.68,17.37,9.52,78.51,Shire
2014-08-01,14.1,38.28,20.74,25.92,17.16,9.45,86.5,Shire
2014-09-01,14.1,38.28,22.01,28.92,16.83,5.04,75.81,Shire
2014-10-01,14.1,38.28,22.64,28.07,15.65,0.92,60.85,Shire
2014-11-01,14.1,38.28,22.1,28.55,15.24,0.07,54.29,Shire
2014-12-01,14.1,38.28,21.39,29.23,14.06,0.01,47.71,Shire
2015-01-01,14.1,38.28,22.0,32.02,13.15,0.0,44.92,Shire
2015-02-01,14.1,38.28,24.57,33.26,15.44,0.0,34.38,Shire
2015-03-01,14.1,38.28,27.08,35.17,18.7,0.04,32.66,Shire
2015-04-01,14.1,38.28,28.3,35.36,20.15,0.01,31.71,Shire
2015-05-01,14.1,38.28,28.37,37.25,21.25,1.26,40.19,Shire
2015-06-01,14.1,38.28,25.26,35.28,18.87,3.17,57.42,Shire
2015-07-01,14.1,38.28,23.72,31.7,18.61,5.16,66.68,Shire
2015-08-01,14.1,38.28,21.78,28.41,18.12,8.83,82.65,Shire
2015-09-01,14.1,38.28,23.63,32.14,17.78,0.44,67.96,Shire
2015-10-01,14.1,38.28,24.78,31.15,18.64,0.93,52.92,Shire
2015-11-01,14.1,38.28,24.31,31.46,16.75,0.16,49.36,Shire
2015-12-01,14.1,38.28,23.02,30.09,15.21,0.78,52.93,Shire
2016-01-01,14.1,38.28,22.68,30.51,14.56,0.01,43.8,Shire
2016-02-01,14.1,38.28,24.82,34.58,16.15,0.0,38.99,Shire
2016-03-01,14.1,38.28,28.04,36.7,19.59,1.08,34.95,Shire
2016-04-01,14.1,38.28,27.9,35.29,20.77,1.13,35.01,Shire
2016-05-01,14.1,38.28,25.71,33.84,20.25,3.95,55.32,Shire
2016-06-01,14.1,38.28,24.62,35.22,18.22,2.15,62.33,Shire
2016-07-01,14.1,38.28,20.93,28.22,17.25,15.52,84.43,Shire
2016-08-01,14.1,38.28,20.6,26.67,17.32,12.96,87.17,Shire
2016-09-01,14.1,38.28,22.76,29.5,18.16,2.34,74.33,Shire
2016-10-01,14.1,38.28,23.08,28.01,14.85,0.49,56.36,Shire
2016-11-01,14.1,38.28,21.04,29.24,13.74,0.0,49.76,Shire
2016-12-01,14.1,38.28,21.02,29.29,13.35,0.0,46.27,Shire
2017-01-01,14.1,38.28,21.32,30.88,12.5,0.0,33.11,Shire
2017-02-01,14.1,38.28,24.24,32.48,17.25,0.61,43.65,Shire
2017-03-01,14.1,38.28,26.14,33.98,18.5,0.02,33.91,Shire
2017-04-01,14.1,38.28,27.87,35.44,19.39,1.83,36.95,Shire
2017-05-01,14.1,38.28,26.12,35.38,19.37,2.33,54.25,Shire
2017-06-01,14.1,38.28,25.49,34.36,18.5,2.7,60.13,Shire
2017-07-01,14.1,38.28,22.11,27.92,17.8,4.4,78.2,Shire
2017-08-01,14.1,38.28,21.04,26.37,17.77,8.93,85.77,Shire
2017-09-01,14.1,38.28,23.24,30.22,17.61,1.42,71.79,Shire
2017-10-01,14.1,38.28,24.41,30.6,16.32,0.37,54.89,Shire
2017-11-01,14.1,38.28,23.39,30.65,16.06,0.03,43.66,Shire
2017-12-01,14.1,38.28,21.6,30.43,13.49,0.0,36.97,Shire
2018-01-01,14.1,38.28,21.85,30.67,13.12,0.0,42.97,Shire
2018-02-01,14.1,38.28,24.78,33.74,15.24,0.03,35.27,Shire
2018-03-01,14.1,38.28,25.83,34.11,16.43,0.07,32.64,Shire
2018-04-01,14.1,38.28,27.1,33.5,20.07,0.56,33.59,Shire
2018-05-01,14.1,38.28,27.79,36.26,20.43,0.26,40.8,Shire
2018-06-01,14.1,38.28,24.65,33.05,18.98,0.37,59.67,Shire
2018-07-01,14.1,38.28,21.9,29.02,17.24,4.64,75.7,Shire
2018-08-01,14.1,38.28,21.3,28.53,17.46,5.89,81.55,Shire
2018-09-01,14.1,38.28,23.65,31.69,18.49,2.51,67.34,Shire
2018-10-01,14.1,38.28,24.51,30.89,17.89,0.73,52.25,Shire
2018-11-01,14.1,38.28,24.01,31.17,16.47,0.69,46.63,Shire
2018-12-01,14.1,38.28,23.47,30.81,15.34,0.03,44.88,Shire
2019-01-01,14.1,38.28,23.26,33.1,14.21,0.0,34.76,Shire
2019-02-01,14.1,38.28,24.79,33.8,16.94,1.17,39.21,Shire
2019-03-01,14.1,38.28,26.35,35.02,18.13,0.37,35.49,Shire
2019-04-01,14.1,38.28,28.22,35.3,20.36,0.42,34.33,Shire
2019-05-01,14.1,38.28,29.05,37.16,20.08,0.07,35.37,Shire
2019-06-01,14.1,38.28,25.64,35.15,20.47,0.37,57.83,Shire
2019-07-01,14.1,38.28,23.62,32.01,18.69,0.17,67.04,Shire
2019-08-01,14.1,38.28,21.91,30.02,17.18,6.61,77.86,Shire
2019-09-01,14.1,38.28,22.96,30.92,18.51,6.3,75.31,Shire
2019-10-01,14.1,38.28,23.34,30.01,17.56,2.57,59.02,Shire
2019-11-01,14.1,38.28,23.91,30.34,17.41,0.62,53.4,Shire
2019-12-01,14.1,38.28,22.71,30.06,14.56,0.42,47.62,Shire
2020-01-01,14.1,38.28,22.14,31.66,13.05,0.14,44.96,Shire
2020-02-01,14.1,38.28,24.77,33.94,16.82,0.01,40.58,Shire
2020-03-01,14.1,38.28,26.17,34.88,17.41,0.01,31.67,Shire
2020-04-01,14.1,38.28,27.84,36.09,19.47,0.93,35.29,Shire
2020-05-01,14.1,38.28,27.34,35.99,20.05,1.99,42.38,Shire
2020-06-01,14.1,38.28,24.99,34.33,18.94,3.03,60.83,Shire
2020-07-01,14.1,38.28,21.58,29.47,17.23,7.96,77.15,Shire
2020-08-01,14.1,38.28,20.75,27.24,16.24,12.86,86.37,Shire
2020-09-01,14.1,38.28,22.76,29.28,18.65,5.86,75.04,Shire
2020-10-01,14.1,38.28,22.47,28.39,15.08,0.63,57.41,Shire
2020-11-01,14.1,38.28,21.7,28.27,13.84,0.08,53.57,Shire
2020-12-01,14.1,38.28,21.83,29.61,13.4,0.0,49.61,Shire
2021-01-01,14.1,38.28,22.3,31.0,14.78,0.0,41.6,Shire
2021-02-01,14.1,38.28,23.19,31.3,13.62,0.11,41.29,Shire
2021-03-01,14.1,38.28,26.3,35.32,18.01,0.0,32.54,Shire
2021-04-01,14.1,38.28,27.67,34.82,19.6,0.94,36.13,Shire
2021-05-01,14.1,38.28,25.52,34.82,19.93,8.15,50.34,Shire
2021-06-01,14.1,38.28,25.33,34.65,18.81,4.34,58.14,Shire
2021-07-01,14.1,38.28,20.17,26.14,16.46,23.19,88.88,Shire
2021-08-01,14.1,38.28,20.8,26.6,16.98,18.24,87.52,Shire
2021-09-01,14.1,38.28,22.18,28.89,17.13,10.05,77.27,Shire
2021-10-01,14.1,38.28,22.37,28.33,15.57,1.14,66.29,Shire
2021-11-01,14.1,38.28,21.53,27.8,14.89,0.0,60.49,Shire
2021-12-01,14.1,38.28,20.59,28.78,12.52,0.93,56.6,Shire
2022-01-01,14.1,38.28,21.61,29.36,14.71,0.2,54.74,Shire
2022-02-01,14.1,38.28,24.08,32.68,16.24,0.07,46.91,Shire
2022-03-01,14.1,38.28,26.01,34.25,18.4,0.24,37.26,Shire
2022-04-01,14.1,38.28,27.65,35.2,19.76,1.37,36.62,Shire
