period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.09,39.01,21.41,31.0,10.34,0.18,42.48,Sik'ela
2008-02-01,13.09,39.01,21.9,32.65,10.56,0.0,35.88,Sik'ela
2008-03-01,13.09,39.01,23.71,35.09,11.35,0.03,23.26,Sik'ela
2008-04-01,13.09,39.01,24.26,34.85,15.16,1.27,37.39,Sik'ela
2008-05-01,13.09,39.01,25.86,36.04,17.48,0.77,39.21,Sik'ela
2008-06-01,13.09,39.01,24.39,34.23,16.9,1.57,48.85,Sik'ela
2008-07-01,13.09,39.01,21.96,31.5,16.32,5.92,65.44,Sik'ela
2008-08-01,13.09,39.01,20.75,28.65,14.61,7.46,74.31,Sik'ela
2008-09-01,13.09,39.01,21.66,29.89,14.44,1.97,63.28,Sik'ela
2008-10-01,13.09,39.01,22.25,30.75,14.17,0.13,48.52,Sik'ela
2008-11-01,13.09,39.01,20.58,30.37,9.9,0.66,46.36,Sik'ela
2008-12-01,13.09,39.01,20.25,30.09,9.53,0.01,41.63,Sik'ela
2009-01-01,13.09,39.01,21.34,31.45,10.2,0.04,38.02,Sik'ela
2009-02-01,13.09,39.01,23.42,33.85,13.91,0.13,36.76,Sik'ela
2009-03-01,13.09,39.01,25.67,35.68,16.39,0.11,35.83,Sik'ela
2009-04-01,13.09,39.01,25.9,35.99,16.41,0.23,33.84,Sik'ela
2009-05-01,13.09,39.01,26.9,35.48,18.1,0.05,29.8,Sik'ela
2009-06-01,13.09,39.01,25.59,35.97,17.84,2.57,45.35,Sik'ela
2009-07-01,13.09,39.01,21.09,31.1,15.9,9.01,72.31,Sik'ela
2009-08-01,13.09,39.01,21.14,28.67,13.64,6.5,75.04,Sik'ela
2009-09-01,13.09,39.01,22.16,29.85,15.05,1.51,60.3,Sik'ela
2009-10-01,13.09,39.01,21.47,30.16,12.86,1.51,50.97,Sik'ela
2009-11-01,13.09,39.01,21.24,30.53,10.77,0.04,40.76,Sik'ela
2009-12-01,13.09,39.01,21.97,30.82,13.07,0.12,45.51,Sik'ela
2010-01-01,13.09,39.01,21.83,31.56,12.58,0.0,41.36,Sik'ela
