period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.86405,37.761,21.1,31.15,8.82,0.89,47.67,Sodo
2008-02-01,6.86405,37.761,22.39,33.28,9.8,0.63,39.72,Sodo
2008-03-01,6.86405,37.761,23.85,34.79,10.54,2.32,35.43,Sodo
2008-04-01,6.86405,37.761,20.75,31.43,12.16,9.66,71.66,Sodo
2008-05-01,6.86405,37.761,19.82,27.2,14.78,3.82,80.19,Sodo
2008-06-01,6.86405,37.761,18.65,25.82,14.17,3.59,81.34,Sodo
2008-07-01,6.86405,37.761,18.22,24.77,12.49,4.65,82.18,Sodo
2008-08-01,6.86405,37.761,18.56,25.01,13.81,5.34,81.44,Sodo
2008-09-01,6.86405,37.761,19.19,25.54,14.17,6.5,79.82,Sodo
2008-10-01,6.86405,37.761,18.9,25.67,10.08,7.91,76.28,Sodo
2008-11-01,6.86405,37.761,17.57,25.45,7.16,5.33,71.98,Sodo
2008-12-01,6.86405,37.761,18.28,27.38,7.24,0.33,61.7,Sodo
2009-01-01,6.86405,37.761,19.85,29.39,7.87,1.76,58.75,Sodo
2009-02-01,6.86405,37.761,22.49,33.45,11.58,0.64,50.6,Sodo
2009-03-01,6.86405,37.761,24.29,33.68,13.81,2.4,50.07,Sodo
2009-04-01,6.86405,37.761,21.31,29.44,15.0,8.32,74.84,Sodo
2009-05-01,6.86405,37.761,20.75,30.33,13.84,5.37,74.42,Sodo
2009-06-01,6.86405,37.761,20.22,26.3,14.86,2.93,76.07,Sodo
2009-07-01,6.86405,37.761,19.13,25.73,13.59,4.48,76.63,Sodo
2009-08-01,6.86405,37.761,19.38,25.94,14.14,4.4,78.04,Sodo
2009-09-01,6.86405,37.761,19.9,26.29,14.91,6.71,77.18,Sodo
2009-10-01,6.86405,37.761,19.28,25.75,11.39,7.48,76.47,Sodo
2009-11-01,6.86405,37.761,18.76,27.01,7.96,1.18,63.65,Sodo
2009-12-01,6.86405,37.761,19.96,28.26,12.19,3.81,71.63,Sodo
2010-01-01,6.86405,37.761,20.38,31.21,9.92,0.95,60.59,Sodo
2010-02-01,6.86405,37.761,21.88,32.15,13.76,2.84,65.3,Sodo
2010-03-01,6.86405,37.761,21.57,32.22,12.24,5.41,67.65,Sodo
2010-04-01,6.86405,37.761,20.96,28.47,13.34,8.75,77.27,Sodo
2010-05-01,6.86405,37.761,19.99,25.77,15.68,11.12,84.45,Sodo
2010-06-01,6.86405,37.761,19.1,25.1,14.03,8.19,84.27,Sodo
2010-07-01,6.86405,37.761,17.99,23.7,13.84,5.66,85.47,Sodo
2010-08-01,6.86405,37.761,18.36,23.85,13.69,5.32,84.86,Sodo
2010-09-01,6.86405,37.761,18.79,24.44,14.52,6.41,82.36,Sodo
2010-10-01,6.86405,37.761,19.6,26.28,11.3,4.37,74.48,Sodo
2010-11-01,6.86405,37.761,18.67,26.08,9.06,1.75,66.38,Sodo
2010-12-01,6.86405,37.761,18.81,27.71,7.16,0.76,60.68,Sodo
2011-01-01,6.86405,37.761,20.78,32.1,8.77,0.51,52.35,Sodo
2011-02-01,6.86405,37.761,23.11,34.53,9.84,0.33,37.61,Sodo
2011-03-01,6.86405,37.761,22.92,34.64,11.84,2.72,49.91,Sodo
2011-04-01,6.86405,37.761,22.38,33.25,12.78,5.82,65.9,Sodo
2011-05-01,6.86405,37.761,20.09,27.61,15.29,8.5,81.14,Sodo
2011-06-01,6.86405,37.761,18.76,24.91,13.47,4.2,84.49,Sodo
2011-07-01,6.86405,37.761,18.62,25.56,14.03,2.87,81.92,Sodo
2011-08-01,6.86405,37.761,18.6,24.99,13.8,2.2,80.79,Sodo
2011-09-01,6.86405,37.761,19.17,25.87,14.69,3.35,79.91,Sodo
2011-10-01,6.86405,37.761,19.6,27.61,9.37,3.74,67.72,Sodo
2011-11-01,6.86405,37.761,18.98,27.18,10.29,7.12,74.98,Sodo
2011-12-01,6.86405,37.761,18.99,29.55,6.76,0.4,57.58,Sodo
2012-01-01,6.86405,37.761,21.66,32.78,6.91,0.03,41.77,Sodo
2012-02-01,6.86405,37.761,23.4,34.54,10.45,0.24,30.13,Sodo
2012-03-01,6.86405,37.761,24.28,35.18,11.96,0.9,37.78,Sodo
2012-04-01,6.86405,37.761,20.86,29.49,14.19,10.48,74.46,Sodo
2012-05-01,6.86405,37.761,20.19,26.71,14.2,7.09,80.62,Sodo
2012-06-01,6.86405,37.761,18.7,24.74,13.81,3.42,83.61,Sodo
2012-07-01,6.86405,37.761,17.92,23.97,13.66,4.73,86.34,Sodo
2012-08-01,6.86405,37.761,18.14,23.66,14.14,12.4,85.56,Sodo
2012-09-01,6.86405,37.761,18.67,23.89,14.31,8.89,84.36,Sodo
2012-10-01,6.86405,37.761,19.15,26.04,10.82,4.59,75.57,Sodo
2012-11-01,6.86405,37.761,19.12,26.09,10.56,2.97,71.9,Sodo
2012-12-01,6.86405,37.761,19.12,26.61,8.67,2.0,66.82,Sodo
2013-01-01,6.86405,37.761,20.58,30.69,9.1,0.87,59.07,Sodo
2013-02-01,6.86405,37.761,23.33,35.11,11.96,0.31,43.47,Sodo
2013-03-01,6.86405,37.761,22.92,34.45,15.74,4.98,62.2,Sodo
2013-04-01,6.86405,37.761,20.5,28.08,15.06,11.82,78.16,Sodo
2013-05-01,6.86405,37.761,19.37,25.07,14.29,11.31,83.94,Sodo
2013-06-01,6.86405,37.761,18.31,23.82,14.28,7.75,86.87,Sodo
2013-07-01,6.86405,37.761,17.57,23.08,13.72,6.68,87.43,Sodo
2013-08-01,6.86405,37.761,17.72,23.42,13.06,5.89,85.27,Sodo
2013-09-01,6.86405,37.761,18.85,25.31,14.0,5.6,82.81,Sodo
2013-10-01,6.86405,37.761,18.78,25.08,10.08,8.52,78.46,Sodo
2013-11-01,6.86405,37.761,18.74,25.25,9.66,5.79,76.62,Sodo
2013-12-01,6.86405,37.761,18.0,25.92,7.47,0.26,64.43,Sodo
2014-01-01,6.86405,37.761,20.21,31.17,10.11,0.14,60.71,Sodo
2014-02-01,6.86405,37.761,21.88,31.56,12.79,2.16,61.63,Sodo
2014-03-01,6.86405,37.761,22.82,33.03,13.42,4.78,61.75,Sodo
2014-04-01,6.86405,37.761,20.7,28.38,13.72,9.46,77.85,Sodo
2014-05-01,6.86405,37.761,19.91,25.85,14.82,14.82,83.5,Sodo
2014-06-01,6.86405,37.761,19.21,26.58,13.97,6.56,83.53,Sodo
2014-07-01,6.86405,37.761,18.38,23.87,12.77,5.79,85.85,Sodo
2014-08-01,6.86405,37.761,18.26,24.21,14.02,6.21,85.11,Sodo
2014-09-01,6.86405,37.761,18.7,24.03,13.82,8.51,82.86,Sodo
2014-10-01,6.86405,37.761,18.8,25.32,11.23,8.5,79.79,Sodo
2014-11-01,6.86405,37.761,19.13,25.53,10.21,3.65,74.73,Sodo
2014-12-01,6.86405,37.761,18.14,25.78,8.67,1.45,65.54,Sodo
2015-01-01,6.86405,37.761,19.32,30.96,6.8,0.02,54.07,Sodo
2015-02-01,6.86405,37.761,23.24,33.47,9.92,0.52,45.28,Sodo
2015-03-01,6.86405,37.761,24.18,35.54,12.49,1.58,43.47,Sodo
2015-04-01,6.86405,37.761,22.86,33.85,13.36,3.58,63.31,Sodo
2015-05-01,6.86405,37.761,20.48,31.15,14.65,6.67,79.35,Sodo
2015-06-01,6.86405,37.761,19.38,27.89,14.63,5.78,82.42,Sodo
2015-07-01,6.86405,37.761,19.09,24.98,13.86,4.49,82.46,Sodo
2015-08-01,6.86405,37.761,19.47,26.01,13.09,3.07,78.01,Sodo
2015-09-01,6.86405,37.761,20.71,27.66,14.57,1.98,71.88,Sodo
2015-10-01,6.86405,37.761,20.29,28.54,14.23,7.52,77.46,Sodo
2015-11-01,6.86405,37.761,19.54,27.32,9.45,3.9,72.94,Sodo
2015-12-01,6.86405,37.761,19.85,28.63,10.31,3.06,70.04,Sodo
2016-01-01,6.86405,37.761,21.66,30.15,14.28,0.74,65.38,Sodo
2016-02-01,6.86405,37.761,23.67,35.07,11.63,0.52,45.72,Sodo
2016-03-01,6.86405,37.761,24.57,35.25,14.45,2.76,57.84,Sodo
2016-04-01,6.86405,37.761,21.21,30.35,15.73,9.57,77.62,Sodo
2016-05-01,6.86405,37.761,19.82,26.42,14.99,7.68,83.18,Sodo
2016-06-01,6.86405,37.761,19.05,25.75,14.18,3.32,82.86,Sodo
2016-07-01,6.86405,37.761,18.41,24.13,14.04,3.71,84.45,Sodo
2016-08-01,6.86405,37.761,18.42,24.3,12.85,7.68,81.46,Sodo
2016-09-01,6.86405,37.761,19.22,25.75,13.73,5.26,79.56,Sodo
2016-10-01,6.86405,37.761,19.52,26.81,9.67,3.93,77.68,Sodo
2016-11-01,6.86405,37.761,19.2,28.33,7.43,1.8,66.91,Sodo
2016-12-01,6.86405,37.761,19.16,29.68,7.42,0.9,58.01,Sodo
2017-01-01,6.86405,37.761,20.42,32.88,6.25,0.04,32.88,Sodo
2017-02-01,6.86405,37.761,22.87,33.52,12.38,2.4,50.63,Sodo
2017-03-01,6.86405,37.761,23.38,35.05,14.46,3.17,54.43,Sodo
2017-04-01,6.86405,37.761,23.34,34.33,14.43,3.99,61.94,Sodo
2017-05-01,6.86405,37.761,20.24,27.14,14.33,10.73,81.87,Sodo
2017-06-01,6.86405,37.761,19.45,25.06,14.46,3.32,81.55,Sodo
2017-07-01,6.86405,37.761,18.58,24.15,13.88,4.85,84.87,Sodo
2017-08-01,6.86405,37.761,18.86,24.56,14.27,4.8,82.4,Sodo
2017-09-01,6.86405,37.761,19.17,25.74,14.08,7.01,82.2,Sodo
2017-10-01,6.86405,37.761,19.75,26.74,12.09,4.96,78.48,Sodo
2017-11-01,6.86405,37.761,18.7,26.25,8.55,1.92,70.63,Sodo
