period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,4.97,36.48,29.49,39.7,19.39,0.78,33.3,Turmi
2008-02-01,4.97,36.48,30.7,40.52,19.29,0.22,27.02,Turmi
2008-03-01,4.97,36.48,30.15,40.85,21.54,2.09,40.67,Turmi
2008-04-01,4.97,36.48,27.48,37.56,20.46,4.53,61.47,Turmi
2008-05-01,4.97,36.48,27.5,35.25,20.86,0.45,56.23,Turmi
2008-06-01,4.97,36.48,27.27,35.85,20.68,0.91,49.57,Turmi
2008-07-01,4.97,36.48,26.93,35.58,20.25,0.98,50.24,Turmi
2008-08-01,4.97,36.48,28.12,36.25,21.59,0.86,45.7,Turmi
2008-09-01,4.97,36.48,28.71,37.47,21.37,1.58,48.14,Turmi
2008-10-01,4.97,36.48,27.55,36.29,19.58,2.71,59.58,Turmi
2008-11-01,4.97,36.48,27.52,37.74,17.63,1.96,54.48,Turmi
2008-12-01,4.97,36.48,29.61,38.73,18.12,0.06,33.2,Turmi
2009-01-01,4.97,36.48,29.27,39.43,19.44,1.31,37.05,Turmi
2009-02-01,4.97,36.48,31.27,41.3,21.41,0.19,32.56,Turmi
2009-03-01,4.97,36.48,31.47,41.03,21.57,0.76,37.29,Turmi
2009-04-01,4.97,36.48,28.19,38.21,21.37,2.41,59.94,Turmi
2009-05-01,4.97,36.48,28.45,39.09,20.98,1.24,54.01,Turmi
2009-06-01,4.97,36.48,28.64,36.97,21.28,0.41,46.14,Turmi
2009-07-01,4.97,36.48,28.04,37.08,20.01,0.34,41.22,Turmi
2009-08-01,4.97,36.48,28.54,36.65,21.46,0.48,40.79,Turmi
2009-09-01,4.97,36.48,28.91,37.63,22.11,1.47,43.54,Turmi
2009-10-01,4.97,36.48,28.06,36.8,21.58,2.12,55.55,Turmi
2009-11-01,4.97,36.48,29.84,38.32,20.03,0.59,43.32,Turmi
2009-12-01,4.97,36.48,27.64,38.49,19.82,4.04,57.13,Turmi
2010-01-01,4.97,36.48,27.18,38.54,15.95,2.03,53.32,Turmi
2010-02-01,4.97,36.48,29.79,39.5,20.16,1.48,47.2,Turmi
2010-03-01,4.97,36.48,27.82,39.49,20.38,5.33,60.57,Turmi
2010-04-01,4.97,36.48,27.27,36.27,20.55,2.72,67.4,Turmi
2010-05-01,4.97,36.48,27.33,35.51,20.89,2.06,63.59,Turmi
2010-06-01,4.97,36.48,27.57,35.67,21.23,1.11,54.08,Turmi
2010-07-01,4.97,36.48,26.76,35.57,20.2,0.92,51.63,Turmi
2010-08-01,4.97,36.48,27.38,35.99,20.68,1.42,49.34,Turmi
2010-09-01,4.97,36.48,28.35,36.17,21.07,1.05,44.61,Turmi
2010-10-01,4.97,36.48,28.13,37.51,22.0,1.62,53.8,Turmi
2010-11-01,4.97,36.48,29.6,38.89,19.51,0.91,42.19,Turmi
2010-12-01,4.97,36.48,29.35,38.43,17.66,0.37,32.63,Turmi
2011-01-01,4.97,36.48,30.03,39.78,19.98,0.14,28.34,Turmi
2011-02-01,4.97,36.48,30.94,41.01,19.15,0.18,25.88,Turmi
2011-03-01,4.97,36.48,30.13,41.19,20.91,3.77,44.3,Turmi
2011-04-01,4.97,36.48,29.42,39.22,21.54,1.41,51.99,Turmi
2011-05-01,4.97,36.48,28.12,36.69,21.54,1.4,56.35,Turmi
2011-06-01,4.97,36.48,27.37,36.23,20.61,1.29,55.26,Turmi
2011-07-01,4.97,36.48,27.64,35.58,21.27,0.95,49.01,Turmi
2011-08-01,4.97,36.48,27.51,36.37,20.22,0.68,48.91,Turmi
2011-09-01,4.97,36.48,28.42,37.57,20.74,1.05,47.99,Turmi
2011-10-01,4.97,36.48,27.62,36.9,20.14,1.47,56.47,Turmi
2011-11-01,4.97,36.48,25.52,35.31,19.19,5.19,70.48,Turmi
2011-12-01,4.97,36.48,26.97,36.73,17.56,0.85,54.61,Turmi
2012-01-01,4.97,36.48,28.95,39.16,17.2,0.01,33.3,Turmi
2012-02-01,4.97,36.48,30.72,41.23,18.58,0.11,27.2,Turmi
2012-03-01,4.97,36.48,31.5,40.97,20.19,0.48,31.13,Turmi
2012-04-01,4.97,36.48,26.83,36.99,19.93,7.01,64.56,Turmi
2012-05-01,4.97,36.48,25.96,33.08,20.24,3.12,70.97,Turmi
2012-06-01,4.97,36.48,26.35,34.3,19.45,0.61,58.92,Turmi
2012-07-01,4.97,36.48,25.81,34.1,19.49,1.68,59.34,Turmi
2012-08-01,4.97,36.48,26.52,34.75,19.55,3.72,57.23,Turmi
2012-09-01,4.97,36.48,27.75,36.89,20.64,1.17,51.64,Turmi
2012-10-01,4.97,36.48,27.53,37.4,21.04,2.66,58.88,Turmi
2012-11-01,4.97,36.48,27.39,36.43,18.87,2.43,61.86,Turmi
2012-12-01,4.97,36.48,28.63,37.81,19.21,3.77,52.4,Turmi
2013-01-01,4.97,36.48,27.8,38.68,17.52,0.81,50.93,Turmi
2013-02-01,4.97,36.48,30.82,41.23,19.55,0.09,32.65,Turmi
2013-03-01,4.97,36.48,29.88,40.73,22.14,3.99,49.71,Turmi
2013-04-01,4.97,36.48,25.66,32.81,21.04,5.64,76.67,Turmi
2013-05-01,4.97,36.48,26.18,34.71,19.86,2.08,66.1,Turmi
2013-06-01,4.97,36.48,26.1,34.38,19.43,1.42,58.43,Turmi
2013-07-01,4.97,36.48,26.05,33.74,19.9,1.22,56.8,Turmi
2013-08-01,4.97,36.48,26.21,34.93,19.43,2.46,54.54,Turmi
2013-09-01,4.97,36.48,28.0,37.01,20.84,1.52,50.07,Turmi
2013-10-01,4.97,36.48,27.44,35.87,20.57,3.44,57.49,Turmi
2013-11-01,4.97,36.48,27.09,36.6,18.84,2.09,61.44,Turmi
2013-12-01,4.97,36.48,28.52,37.92,18.6,0.31,41.93,Turmi
2014-01-01,4.97,36.48,30.9,40.31,20.27,0.08,29.11,Turmi
2014-02-01,4.97,36.48,30.48,40.27,21.67,0.97,38.45,Turmi
2014-03-01,4.97,36.48,30.42,41.16,21.15,1.36,44.09,Turmi
2014-04-01,4.97,36.48,28.37,37.93,21.35,3.06,58.82,Turmi
2014-05-01,4.97,36.48,27.97,36.95,19.44,2.41,57.36,Turmi
2014-06-01,4.97,36.48,27.66,35.33,20.81,1.46,53.36,Turmi
2014-07-01,4.97,36.48,26.6,35.11,19.71,2.51,55.97,Turmi
2014-08-01,4.97,36.48,27.27,35.83,21.24,1.15,51.64,Turmi
2014-09-01,4.97,36.48,27.62,36.61,20.38,1.86,49.74,Turmi
2014-10-01,4.97,36.48,27.31,35.83,20.69,2.81,59.97,Turmi
2014-11-01,4.97,36.48,28.04,37.54,20.57,1.79,56.49,Turmi
2014-12-01,4.97,36.48,28.09,37.37,18.67,1.84,47.16,Turmi
2015-01-01,4.97,36.48,28.28,39.98,16.86,0.0,34.0,Turmi
2015-02-01,4.97,36.48,31.99,41.09,21.41,0.14,29.06,Turmi
2015-03-01,4.97,36.48,31.24,41.76,21.82,0.95,35.04,Turmi
2015-04-01,4.97,36.48,26.71,36.31,20.72,4.69,69.0,Turmi
2015-05-01,4.97,36.48,27.38,35.04,20.87,2.52,63.43,Turmi
2015-06-01,4.97,36.48,26.83,34.43,19.84,2.54,60.69,Turmi
2015-07-01,4.97,36.48,27.54,35.65,20.93,0.57,49.41,Turmi
2015-08-01,4.97,36.48,28.7,37.48,21.38,0.18,41.58,Turmi
2015-09-01,4.97,36.48,29.82,38.93,22.26,0.46,36.53,Turmi
2015-10-01,4.97,36.48,28.45,37.28,21.64,2.83,57.04,Turmi
2015-11-01,4.97,36.48,26.46,35.49,20.17,4.81,68.28,Turmi
2015-12-01,4.97,36.48,27.04,37.38,19.14,2.47,62.58,Turmi
2016-01-01,4.97,36.48,29.65,38.87,22.75,0.23,45.77,Turmi
2016-02-01,4.97,36.48,31.54,41.51,20.94,0.44,29.6,Turmi
2016-03-01,4.97,36.48,31.27,40.9,21.64,2.09,46.88,Turmi
2016-04-01,4.97,36.48,26.63,36.65,21.41,9.44,74.44,Turmi
2016-05-01,4.97,36.48,26.12,34.19,20.28,2.76,70.29,Turmi
2016-06-01,4.97,36.48,26.41,34.66,19.8,0.86,58.99,Turmi
2016-07-01,4.97,36.48,26.84,35.2,20.55,0.69,51.74,Turmi
2016-08-01,4.97,36.48,27.5,35.71,20.69,0.77,46.39,Turmi
2016-09-01,4.97,36.48,29.02,36.86,21.36,0.56,39.34,Turmi
2016-10-01,4.97,36.48,28.49,38.29,21.13,1.82,50.51,Turmi
2016-11-01,4.97,36.48,28.6,38.54,17.95,1.12,47.13,Turmi
2016-12-01,4.97,36.48,29.76,40.17,18.09,0.12,33.34,Turmi
2017-01-01,4.97,36.48,29.17,40.28,17.02,0.56,21.99,Turmi
2017-02-01,4.97,36.48,30.8,40.3,20.81,0.9,38.99,Turmi
2017-03-01,4.97,36.48,31.73,42.17,21.97,1.55,37.25,Turmi
2017-04-01,4.97,36.48,29.58,39.8,21.88,3.26,53.15,Turmi
2017-05-01,4.97,36.48,28.03,36.3,21.44,2.25,59.03,Turmi
2017-06-01,4.97,36.48,28.45,36.75,21.64,0.57,48.02,Turmi
2017-07-01,4.97,36.48,26.93,34.97,20.34,2.53,55.74,Turmi
2017-08-01,4.97,36.48,28.13,36.48,21.12,0.71,47.3,Turmi
2017-09-01,4.97,36.48,28.61,38.09,21.4,1.15,46.79,Turmi
2017-10-01,4.97,36.48,27.02,37.42,19.85,6.55,63.28,Turmi
2017-11-01,4.97,36.48,26.52,35.36,17.26,2.31,62.82,Turmi
2017-12-01,4.97,36.48,28.13,38.49,16.03,0.11,35.34,Turmi
2018-01-01,4.97,36.48,29.67,39.52,19.56,0.0,28.39,Turmi
2018-02-01,4.97,36.48,30.16,41.02,18.46,1.54,38.51,Turmi
2018-03-01,4.97,36.48,27.95,39.05,20.82,2.8,57.72,Turmi
2018-04-01,4.97,36.48,25.12,36.85,20.08,13.34,78.31,Turmi
2018-05-01,4.97,36.48,24.61,31.26,18.9,5.36,79.93,Turmi
2018-06-01,4.97,36.48,24.88,31.85,18.65,1.33,71.0,Turmi
2018-07-01,4.97,36.48,26.02,34.89,19.34,0.29,54.63,Turmi
2018-08-01,4.97,36.48,27.49,35.81,20.14,0.44,46.49,Turmi
2018-09-01,4.97,36.48,29.46,38.53,21.94,0.97,39.69,Turmi
2018-10-01,4.97,36.48,28.21,37.35,20.66,2.01,52.27,Turmi
2018-11-01,4.97,36.48,29.25,39.41,19.76,1.18,50.64,Turmi
2018-12-01,4.97,36.48,28.4,38.49,18.94,3.39,52.65,Turmi
2019-01-01,4.97,36.48,30.11,40.87,17.92,0.01,28.16,Turmi
2019-02-01,4.97,36.48,32.06,41.92,22.1,0.16,30.44,Turmi
2019-03-01,4.97,36.48,32.3,42.25,22.89,0.8,35.62,Turmi
2019-04-01,4.97,36.48,29.5,40.22,22.56,3.87,56.71,Turmi
2019-05-01,4.97,36.48,28.01,37.97,21.29,2.38,61.6,Turmi
2019-06-01,4.97,36.48,27.61,35.21,21.18,0.77,56.17,Turmi
2019-07-01,4.97,36.48,27.37,36.54,20.75,1.87,53.13,Turmi
2019-08-01,4.97,36.48,28.01,36.19,20.93,0.76,48.5,Turmi
2019-09-01,4.97,36.48,28.95,37.84,21.59,0.94,44.37,Turmi
2019-10-01,4.97,36.48,26.7,36.8,19.74,8.09,68.54,Turmi
2019-11-01,4.97,36.48,26.01,34.92,20.25,4.15,72.8,Turmi
2019-12-01,4.97,36.48,26.45,36.07,20.24,2.99,69.69,Turmi
2020-01-01,4.97,36.48,28.02,37.26,21.24,1.83,57.69,Turmi
2020-02-01,4.97,36.48,29.7,39.93,20.16,1.02,49.96,Turmi
2020-03-01,4.97,36.48,27.97,39.14,21.18,7.01,65.45,Turmi
2020-04-01,4.97,36.48,26.65,37.02,21.34,9.06,73.69,Turmi
2020-05-01,4.97,36.48,25.59,32.84,19.34,3.29,75.79,Turmi
2020-06-01,4.97,36.48,25.78,33.89,19.1,2.16,66.32,Turmi
2020-07-01,4.97,36.48,25.98,34.66,19.69,1.05,57.32,Turmi
2020-08-01,4.97,36.48,26.69,35.06,18.89,1.54,56.28,Turmi
2020-09-01,4.97,36.48,28.03,37.35,19.31,2.11,50.87,Turmi
2020-10-01,4.97,36.48,27.36,36.43,20.35,3.07,60.25,Turmi
2020-11-01,4.97,36.48,28.32,36.82,20.61,1.62,56.63,Turmi
2020-12-01,4.97,36.48,28.64,38.41,17.84,7.38,43.68,Turmi
2021-01-01,4.97,36.48,26.08,36.14,17.02,13.01,61.45,Turmi
2021-02-01,4.97,36.48,28.56,39.89,17.31,0.23,47.58,Turmi
2021-03-01,4.97,36.48,31.35,40.6,20.75,0.47,37.61,Turmi
2021-04-01,4.97,36.48,27.73,39.26,21.24,5.48,63.23,Turmi
2021-05-01,4.97,36.48,25.4,34.4,18.76,11.98,75.09,Turmi
2021-06-01,4.97,36.48,26.09,33.82,19.86,0.18,59.81,Turmi
2021-07-01,4.97,36.48,26.09,34.38,20.02,1.03,54.69,Turmi
2021-08-01,4.97,36.48,28.02,37.0,19.97,0.61,44.71,Turmi
2021-09-01,4.97,36.48,28.03,36.84,20.78,1.9,49.2,Turmi
2021-10-01,4.97,36.48,29.51,39.07,21.05,1.24,48.29,Turmi
2021-11-01,4.97,36.48,30.06,39.67,22.08,2.32,46.39,Turmi
2021-12-01,4.97,36.48,28.6,38.05,16.89,0.82,46.9,Turmi
2022-01-01,4.97,36.48,28.79,39.5,17.27,1.22,41.95,Turmi
2022-02-01,4.97,36.48,30.51,40.94,20.03,0.15,37.96,Turmi
2022-03-01,4.97,36.48,30.98,41.47,20.86,1.16,38.58,Turmi
2022-04-01,4.97,36.48,29.13,40.83,20.51,4.1,54.12,Turmi
2022-05-01,4.97,36.48,27.37,35.94,19.92,2.8,62.72,Turmi
2022-06-01,4.97,36.48,27.03,35.42,20.25,0.25,52.62,Turmi
2022-07-01,4.97,36.48,26.92,35.32,19.98,0.36,46.91,Turmi
2022-08-01,4.97,36.48,27.52,36.02,19.99,0.75,46.86,Turmi
2022-09-01,4.97,36.48,28.12,37.21,20.64,1.29,45.36,Turmi
2022-10-01,4.97,36.48,28.5,37.47,21.96,3.82,49.42,Turmi
2022-11-01,4.97,36.48,28.75,37.8,21.86,0.41,53.2,Turmi
2022-12-01,4.97,36.48,29.43,38.53,20.54,1.13,43.22,Turmi
2023-01-01,4.97,36.48,30.53,40.27,18.9,0.01,28.65,Turmi
2023-02-01,4.97,36.48,31.36,41.13,20.65,0.08,24.71,Turmi
2023-03-01,4.97,36.48,28.99,40.91,20.15,2.23,52.47,Turmi
2023-04-01,4.97,36.48,27.25,38.43,21.32,11.34,67.55,Turmi
2023-05-01,4.97,36.48,26.13,34.14,19.65,2.22,71.41,Turmi
2023-06-01,4.97,36.48,26.92,34.53,19.0,0.98,58.85,Turmi
2023-07-01,4.97,36.48,27.46,35.73,20.04,0.25,49.97,Turmi
2023-08-01,4.97,36.48,28.6,37.75,21.15,0.59,43.13,Turmi
2023-09-01,4.97,36.48,30.04,38.23,22.78,0.61,42.02,Turmi
2023-10-01,4.97,36.48,27.95,37.78,20.83,10.13,62.45,Turmi
2023-11-01,4.97,36.48,25.22,31.24,19.27,8.83,80.56,Turmi
2023-12-01,4.97,36.48,26.82,36.77,18.99,0.51,66.5,Turmi
2024-01-01,4.97,36.48,29.13,39.34,21.33,0.39,50.09,Turmi
2024-02-01,4.97,36.48,29.06,39.89,20.29,13.21,58.38,Turmi
2024-03-01,4.97,36.48,28.83,38.35,20.52,3.49,60.66,Turmi
2024-04-01,4.97,36.48,26.17,35.7,20.67,12.03,78.12,Turmi
2024-05-01,4.97,36.48,25.86,32.26,20.93,4.69,78.02,Turmi
2024-06-01,4.97,36.48,26.47,34.1,19.4,0.95,62.45,Turmi
2024-07-01,4.97,36.48,27.15,35.45,21.1,1.31,56.29,Turmi
2024-08-01,4.97,36.48,27.62,36.95,20.16,0.79,53.07,Turmi
2024-09-01,4.97,36.48,29.46,38.29,22.58,0.66,42.06,Turmi
2024-10-01,4.97,36.48,28.97,37.91,22.1,1.9,51.52,Turmi
2024-11-01,4.97,36.48,28.6,38.85,20.53,4.42,56.78,Turmi
2024-12-01,4.97,36.48,28.56,37.83,18.3,0.11,44.84,Turmi
2025-01-01,4.97,36.48,30.24,39.9,19.48,0.04,30.7,Turmi
2025-02-01,4.97,36.48,32.25,41.97,21.44,0.01,25.18,Turmi
2025-03-01,4.97,36.48,29.4,41.76,20.87,5.11,55.83,Turmi
2025-04-01,4.97,36.48,26.89,36.28,20.52,5.67,71.7,Turmi
2025-05-01,4.97,36.48,26.11,33.14,20.61,3.89,72.56,Turmi
2025-06-01,4.97,36.48,27.14,35.37,20.7,0.63,57.38,Turmi
2025-07-01,4.97,36.48,27.31,35.02,21.24,0.86,51.69,Turmi
2025-08-01,4.97,36.48,26.7,34.75,20.19,2.97,56.37,Turmi
2025-09-01,4.97,36.48,28.42,36.78,21.07,1.36,48.92,Turmi
2025-10-01,4.97,36.48,27.91,36.1,21.18,2.75,55.47,Turmi
2025-11-01,4.97,36.48,29.52,38.27,19.47,1.35,47.51,Turmi
2025-12-01,4.97,36.48,28.85,38.89,19.72,3.33,51.23,Turmi
