period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,6.97346,45.3418,25.37,36.67,15.52,0.03,46.3,Warder
2008-02-01,6.97346,45.3418,25.09,36.6,14.42,0.0,37.56,Warder
2008-03-01,6.97346,45.3418,26.62,37.84,15.16,0.0,36.64,Warder
2008-04-01,6.97346,45.3418,26.72,37.34,19.24,7.34,62.36,Warder
2008-05-01,6.97346,45.3418,26.7,33.61,20.39,0.39,64.75,Warder
2008-06-01,6.97346,45.3418,26.68,33.94,20.3,0.12,56.36,Warder
2008-07-01,6.97346,45.3418,26.37,33.4,19.44,0.15,52.25,Warder
2008-08-01,6.97346,45.3418,27.86,35.65,20.45,0.1,46.41,Warder
2008-09-01,6.97346,45.3418,29.24,38.31,21.38,0.16,44.82,Warder
2008-10-01,6.97346,45.3418,27.47,37.56,18.61,3.03,55.21,Warder
2008-11-01,6.97346,45.3418,24.38,34.41,14.24,2.25,58.97,Warder
2008-12-01,6.97346,45.3418,23.94,34.72,12.7,0.0,45.71,Warder
2009-01-01,6.97346,45.3418,25.18,35.34,14.57,0.1,47.98,Warder
2009-02-01,6.97346,45.3418,26.51,36.88,16.47,0.02,47.59,Warder
2009-03-01,6.97346,45.3418,28.04,37.72,17.9,0.09,44.85,Warder
2009-04-01,6.97346,45.3418,28.71,36.76,19.49,2.19,54.84,Warder
2009-05-01,6.97346,45.3418,29.17,37.84,21.43,0.78,50.71,Warder
2009-06-01,6.97346,45.3418,29.36,37.81,21.99,0.12,45.09,Warder
2009-07-01,6.97346,45.3418,27.51,35.48,20.17,0.1,46.78,Warder
2009-08-01,6.97346,45.3418,28.1,36.07,20.59,0.06,44.43,Warder
2009-09-01,6.97346,45.3418,29.12,37.43,21.05,0.14,44.91,Warder
2009-10-01,6.97346,45.3418,26.0,36.96,16.96,5.71,64.82,Warder
2009-11-01,6.97346,45.3418,25.42,34.35,15.67,0.55,55.75,Warder
2009-12-01,6.97346,45.3418,25.52,35.22,16.42,0.04,51.61,Warder
2010-01-01,6.97346,45.3418,25.04,35.65,13.74,0.0,43.03,Warder
2010-02-01,6.97346,45.3418,26.76,36.31,16.4,0.87,49.48,Warder
2010-03-01,6.97346,45.3418,27.88,37.45,16.46,1.67,52.19,Warder
2010-04-01,6.97346,45.3418,27.38,36.7,20.47,7.53,64.88,Warder
2010-05-01,6.97346,45.3418,26.46,33.94,21.06,1.76,71.44,Warder
2010-06-01,6.97346,45.3418,26.85,33.9,20.56,1.31,60.66,Warder
2010-07-01,6.97346,45.3418,25.94,33.73,19.72,0.14,54.62,Warder
2010-08-01,6.97346,45.3418,26.24,34.76,19.61,0.96,54.39,Warder
2010-09-01,6.97346,45.3418,28.03,36.16,20.39,0.34,49.32,Warder
2010-10-01,6.97346,45.3418,28.76,37.88,19.58,0.61,47.4,Warder
2010-11-01,6.97346,45.3418,26.48,35.86,15.41,0.04,42.96,Warder
2010-12-01,6.97346,45.3418,24.71,34.71,14.55,0.0,40.91,Warder
2011-01-01,6.97346,45.3418,24.44,36.49,13.43,0.0,44.82,Warder
2011-02-01,6.97346,45.3418,25.4,36.05,14.21,0.02,43.38,Warder
2011-03-01,6.97346,45.3418,27.1,37.19,17.22,0.0,40.95,Warder
2011-04-01,6.97346,45.3418,28.6,37.62,20.46,8.55,52.53,Warder
2011-05-01,6.97346,45.3418,25.15,31.58,19.85,1.59,78.84,Warder
2011-06-01,6.97346,45.3418,26.28,33.51,19.91,0.06,61.66,Warder
2011-07-01,6.97346,45.3418,26.87,34.15,20.15,0.03,53.92,Warder
2011-08-01,6.97346,45.3418,27.48,35.7,20.62,0.01,47.52,Warder
2011-09-01,6.97346,45.3418,29.33,38.12,21.73,0.0,44.56,Warder
2011-10-01,6.97346,45.3418,26.28,37.31,17.77,6.08,64.1,Warder
2011-11-01,6.97346,45.3418,24.7,32.5,15.9,3.48,70.76,Warder
2011-12-01,6.97346,45.3418,23.72,33.17,12.9,0.03,49.27,Warder
2012-01-01,6.97346,45.3418,24.03,34.84,13.51,0.01,47.94,Warder
2012-02-01,6.97346,45.3418,25.69,36.79,15.31,0.0,42.66,Warder
2012-03-01,6.97346,45.3418,27.32,37.22,15.47,0.0,41.37,Warder
2012-04-01,6.97346,45.3418,26.49,35.16,19.14,5.47,64.1,Warder
2012-05-01,6.97346,45.3418,26.27,34.0,19.19,2.49,68.71,Warder
2012-06-01,6.97346,45.3418,26.1,34.23,19.62,0.09,59.83,Warder
2012-07-01,6.97346,45.3418,25.53,32.75,19.23,0.05,55.62,Warder
2012-08-01,6.97346,45.3418,27.17,35.24,20.21,0.88,50.77,Warder
2012-09-01,6.97346,45.3418,27.62,37.6,19.69,1.02,51.93,Warder
2012-10-01,6.97346,45.3418,27.31,35.31,18.96,1.45,56.82,Warder
2012-11-01,6.97346,45.3418,26.99,35.35,18.21,0.57,53.47,Warder
2012-12-01,6.97346,45.3418,26.74,35.68,17.64,0.05,44.7,Warder
2013-01-01,6.97346,45.3418,26.1,36.37,15.98,0.01,44.08,Warder
2013-02-01,6.97346,45.3418,26.75,37.09,16.43,0.0,44.12,Warder
2013-03-01,6.97346,45.3418,28.12,37.85,18.08,1.64,51.13,Warder
2013-04-01,6.97346,45.3418,27.15,36.09,20.77,5.83,68.28,Warder
2013-05-01,6.97346,45.3418,25.41,33.51,19.43,1.69,74.33,Warder
2013-06-01,6.97346,45.3418,25.77,32.72,18.99,0.11,60.12,Warder
2013-07-01,6.97346,45.3418,25.67,32.92,18.63,0.03,54.21,Warder
2013-08-01,6.97346,45.3418,27.28,35.52,19.67,0.11,46.95,Warder
2013-09-01,6.97346,45.3418,28.95,37.29,20.77,0.16,44.12,Warder
2013-10-01,6.97346,45.3418,27.76,35.53,19.38,1.04,54.29,Warder
2013-11-01,6.97346,45.3418,24.4,34.35,14.26,5.93,69.8,Warder
2013-12-01,6.97346,45.3418,23.55,33.04,14.26,0.0,51.36,Warder
2014-01-01,6.97346,45.3418,24.09,34.15,13.66,0.0,50.0,Warder
2014-02-01,6.97346,45.3418,26.21,36.43,16.35,0.0,46.89,Warder
2014-03-01,6.97346,45.3418,28.41,37.6,18.39,0.12,46.93,Warder
2014-04-01,6.97346,45.3418,28.81,38.05,20.03,1.77,51.55,Warder
2014-05-01,6.97346,45.3418,28.23,37.45,21.25,1.45,58.52,Warder
2014-06-01,6.97346,45.3418,28.13,36.01,20.87,0.21,50.62,Warder
2014-07-01,6.97346,45.3418,27.66,35.42,20.56,0.06,47.38,Warder
2014-08-01,6.97346,45.3418,28.12,37.36,20.22,0.1,46.25,Warder
2014-09-01,6.97346,45.3418,28.7,37.42,21.37,1.2,46.52,Warder
2014-10-01,6.97346,45.3418,24.87,32.29,16.43,7.46,73.42,Warder
2014-11-01,6.97346,45.3418,24.95,34.21,16.31,1.09,64.97,Warder
2014-12-01,6.97346,45.3418,23.76,33.44,12.5,0.42,50.79,Warder
2015-01-01,6.97346,45.3418,23.32,34.39,12.76,0.0,44.93,Warder
2015-02-01,6.97346,45.3418,25.91,36.85,16.15,0.02,46.53,Warder
2015-03-01,6.97346,45.3418,27.24,37.19,16.63,0.91,48.32,Warder
2015-04-01,6.97346,45.3418,28.77,37.4,20.73,1.28,54.4,Warder
2015-05-01,6.97346,45.3418,27.46,36.03,20.5,4.18,64.64,Warder
2015-06-01,6.97346,45.3418,26.96,34.95,20.41,0.69,57.9,Warder
2015-07-01,6.97346,45.3418,26.93,34.83,20.3,0.61,52.85,Warder
2015-08-01,6.97346,45.3418,26.84,35.01,19.76,1.37,54.06,Warder
2015-09-01,6.97346,45.3418,28.95,38.5,20.67,0.35,47.83,Warder
2015-10-01,6.97346,45.3418,28.15,37.47,21.0,3.26,58.66,Warder
2015-11-01,6.97346,45.3418,23.93,31.8,14.08,8.25,76.81,Warder
2015-12-01,6.97346,45.3418,24.18,34.22,14.49,0.11,58.19,Warder
2016-01-01,6.97346,45.3418,25.2,35.05,14.93,0.03,52.01,Warder
2016-02-01,6.97346,45.3418,25.79,37.51,15.21,0.01,41.61,Warder
2016-03-01,6.97346,45.3418,29.21,39.54,19.58,0.21,46.77,Warder
2016-04-01,6.97346,45.3418,28.58,38.08,21.57,6.82,57.89,Warder
2016-05-01,6.97346,45.3418,26.41,34.97,20.47,1.4,68.02,Warder
2016-06-01,6.97346,45.3418,26.94,34.98,19.87,0.08,54.65,Warder
2016-07-01,6.97346,45.3418,26.23,34.5,19.55,0.06,51.21,Warder
2016-08-01,6.97346,45.3418,27.44,35.28,19.83,0.1,46.03,Warder
2016-09-01,6.97346,45.3418,28.16,36.58,19.7,0.08,44.32,Warder
2016-10-01,6.97346,45.3418,28.28,36.47,18.4,0.46,49.06,Warder
2016-11-01,6.97346,45.3418,27.32,35.81,16.49,0.11,46.77,Warder
2016-12-01,6.97346,45.3418,25.89,35.63,16.49,0.01,41.92,Warder
2017-01-01,6.97346,45.3418,24.48,35.53,13.15,0.0,38.15,Warder
2017-02-01,6.97346,45.3418,27.12,36.79,17.07,0.01,46.17,Warder
2017-03-01,6.97346,45.3418,28.23,37.98,18.28,0.01,43.93,Warder
2017-04-01,6.97346,45.3418,29.96,38.95,20.54,1.71,45.35,Warder
2017-05-01,6.97346,45.3418,28.7,36.68,21.63,1.14,55.13,Warder
