period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,14.11,38.54,19.65,28.76,9.26,0.13,49.99,Wekro
2008-02-01,14.11,38.54,20.22,30.17,10.39,0.0,42.47,Wekro
2008-03-01,14.11,38.54,22.13,32.43,10.33,0.03,26.19,Wekro
2008-04-01,14.11,38.54,23.02,33.13,14.14,1.76,41.48,Wekro
2008-05-01,14.11,38.54,24.7,33.97,17.01,0.62,43.48,Wekro
2008-06-01,14.11,38.54,22.7,32.41,16.16,1.36,57.55,Wekro
2008-07-01,14.11,38.54,20.19,29.66,15.41,5.12,74.94,Wekro
2008-08-01,14.11,38.54,19.84,28.59,15.32,6.65,80.03,Wekro
2008-09-01,14.11,38.54,21.12,29.52,13.77,2.12,65.29,Wekro
2008-10-01,14.11,38.54,20.93,29.27,11.89,0.15,51.89,Wekro
2008-11-01,14.11,38.54,19.35,28.38,9.32,0.21,47.88,Wekro
2008-12-01,14.11,38.54,18.61,28.09,8.72,0.0,46.28,Wekro
2009-01-01,14.11,38.54,19.42,29.02,9.56,0.01,43.39,Wekro
2009-02-01,14.11,38.54,21.68,31.73,11.59,0.16,42.05,Wekro
2009-03-01,14.11,38.54,24.04,33.74,14.45,0.05,39.42,Wekro
2009-04-01,14.11,38.54,24.67,34.06,14.89,0.12,35.17,Wekro
2009-05-01,14.11,38.54,25.85,34.3,16.56,0.05,32.41,Wekro
2009-06-01,14.11,38.54,23.83,33.92,16.73,3.59,55.25,Wekro
2009-07-01,14.11,38.54,19.52,28.26,15.41,9.52,80.44,Wekro
2009-08-01,14.11,38.54,20.28,28.83,15.72,6.85,79.57,Wekro
2009-09-01,14.11,38.54,21.4,29.13,13.26,1.53,61.41,Wekro
2009-10-01,14.11,38.54,20.22,28.16,11.27,0.89,53.46,Wekro
2009-11-01,14.11,38.54,19.4,28.0,9.68,0.03,46.91,Wekro
2009-12-01,14.11,38.54,19.64,28.51,11.08,0.04,51.77,Wekro
2010-01-01,14.11,38.54,19.79,29.8,10.52,0.0,48.42,Wekro
2010-02-01,14.11,38.54,21.74,31.56,13.33,0.01,41.27,Wekro
2010-03-01,14.11,38.54,22.38,32.6,11.2,0.43,40.73,Wekro
2010-04-01,14.11,38.54,25.05,33.61,16.5,1.11,44.43,Wekro
2010-05-01,14.11,38.54,25.48,34.61,17.24,0.92,40.13,Wekro
2010-06-01,14.11,38.54,22.9,33.38,16.02,1.63,60.54,Wekro
2010-07-01,14.11,38.54,19.47,29.43,15.03,8.37,80.63,Wekro
2010-08-01,14.11,38.54,18.73,24.55,15.45,13.14,88.66,Wekro
2010-09-01,14.11,38.54,20.24,26.81,11.76,3.18,72.62,Wekro
2010-10-01,14.11,38.54,19.32,27.28,11.67,0.17,61.79,Wekro
2010-11-01,14.11,38.54,18.3,26.28,10.02,0.07,54.32,Wekro
2010-12-01,14.11,38.54,17.72,26.34,8.78,0.0,51.16,Wekro
2011-01-01,14.11,38.54,19.08,28.93,10.94,0.02,52.92,Wekro
2011-02-01,14.11,38.54,20.3,31.09,10.45,0.02,42.13,Wekro
2011-03-01,14.11,38.54,21.29,31.57,12.12,0.52,45.61,Wekro
2011-04-01,14.11,38.54,24.23,33.05,15.54,0.14,39.21,Wekro
2011-05-01,14.11,38.54,24.15,33.12,16.71,2.7,47.96,Wekro
2011-06-01,14.11,38.54,23.85,33.54,17.26,0.26,50.89,Wekro
2011-07-01,14.11,38.54,21.04,30.4,15.63,2.35,68.09,Wekro
2011-08-01,14.11,38.54,20.67,28.69,16.08,2.31,73.54,Wekro
2011-09-01,14.11,38.54,21.9,31.93,15.03,0.78,60.01,Wekro
2011-10-01,14.11,38.54,21.61,31.49,12.25,0.36,44.68,Wekro
2011-11-01,14.11,38.54,20.4,29.67,10.48,0.38,49.44,Wekro
2011-12-01,14.11,38.54,18.92,28.79,9.63,0.0,45.57,Wekro
2012-01-01,14.11,38.54,19.98,29.92,9.63,0.0,45.79,Wekro
2012-02-01,14.11,38.54,20.74,31.56,10.26,0.0,36.27,Wekro
2012-03-01,14.11,38.54,22.99,32.83,12.35,0.01,34.48,Wekro
2012-04-01,14.11,38.54,24.59,34.04,14.87,0.07,38.62,Wekro
2012-05-01,14.11,38.54,25.83,34.32,17.22,0.04,37.71,Wekro
2012-06-01,14.11,38.54,23.7,34.67,16.2,0.76,51.51,Wekro
2012-07-01,14.11,38.54,19.89,27.6,15.89,4.8,79.11,Wekro
2012-08-01,14.11,38.54,19.67,28.98,15.46,4.2,80.82,Wekro
2012-09-01,14.11,38.54,21.78,30.72,15.17,1.59,62.05,Wekro
2012-10-01,14.11,38.54,21.62,30.7,12.0,0.31,44.52,Wekro
2012-11-01,14.11,38.54,21.19,30.22,12.19,0.41,45.65,Wekro
2012-12-01,14.11,38.54,19.59,29.01,9.98,0.06,45.89,Wekro
2013-01-01,14.11,38.54,20.45,30.04,10.2,0.01,45.13,Wekro
2013-02-01,14.11,38.54,21.66,32.28,12.13,0.0,37.85,Wekro
2013-03-01,14.11,38.54,23.98,33.05,15.11,0.13,38.17,Wekro
2013-04-01,14.11,38.54,25.03,34.34,14.59,0.34,39.36,Wekro
2013-05-01,14.11,38.54,25.46,34.67,17.86,0.8,36.8,Wekro
2013-06-01,14.11,38.54,23.42,33.92,16.73,1.06,50.73,Wekro
2013-07-01,14.11,38.54,19.88,28.66,15.18,6.42,74.82,Wekro
2013-08-01,14.11,38.54,18.91,25.63,14.47,13.23,84.94,Wekro
2013-09-01,14.11,38.54,20.96,28.1,14.1,2.25,67.63,Wekro
2013-10-01,14.11,38.54,19.52,26.83,10.64,2.25,63.16,Wekro
