period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,9.67,40.33,24.05,35.1,15.14,0.38,39.15,Werer
2008-02-01,9.67,40.33,23.76,36.41,13.36,0.03,36.45,Werer
2008-03-01,9.67,40.33,26.47,39.22,13.87,0.02,19.25,Werer
2008-04-01,9.67,40.33,27.05,38.82,17.53,2.72,47.53,Werer
2008-05-01,9.67,40.33,28.79,38.09,20.44,1.3,44.74,Werer
2008-06-01,9.67,40.33,29.52,39.71,21.25,0.73,38.86,Werer
2008-07-01,9.67,40.33,27.25,39.33,19.54,5.53,51.21,Werer
2008-08-01,9.67,40.33,25.06,33.15,18.53,6.4,63.83,Werer
2008-09-01,9.67,40.33,26.5,35.17,19.22,1.85,55.91,Werer
2008-10-01,9.67,40.33,26.39,35.54,17.69,1.33,42.35,Werer
2008-11-01,9.67,40.33,22.14,31.61,13.77,2.55,55.68,Werer
2008-12-01,9.67,40.33,22.14,32.66,12.61,0.02,41.79,Werer
2009-01-01,9.67,40.33,23.72,35.64,13.22,0.85,44.03,Werer
2009-02-01,9.67,40.33,26.11,37.51,16.23,0.36,37.54,Werer
2009-03-01,9.67,40.33,27.8,39.65,17.79,1.04,39.34,Werer
2009-04-01,9.67,40.33,27.72,37.97,19.71,1.89,49.83,Werer
2009-05-01,9.67,40.33,30.15,39.98,21.27,0.29,33.04,Werer
2009-06-01,9.67,40.33,30.24,40.83,21.49,1.79,39.13,Werer
2009-07-01,9.67,40.33,26.73,35.61,19.49,4.82,52.83,Werer
2009-08-01,9.67,40.33,26.69,35.57,19.54,3.62,54.84,Werer
2009-09-01,9.67,40.33,27.77,36.27,19.3,2.33,49.74,Werer
2009-10-01,9.67,40.33,25.2,36.71,16.25,2.12,51.71,Werer
2009-11-01,9.67,40.33,24.73,35.0,15.09,0.19,35.91,Werer
2009-12-01,9.67,40.33,25.12,35.11,16.85,0.67,47.46,Werer
2010-01-01,9.67,40.33,23.99,35.64,12.76,0.0,40.59,Werer
2010-02-01,9.67,40.33,24.87,38.62,16.61,3.87,54.06,Werer
2010-03-01,9.67,40.33,24.79,34.94,14.81,3.07,59.58,Werer
2010-04-01,9.67,40.33,27.37,36.41,19.44,3.2,56.87,Werer
2010-05-01,9.67,40.33,28.23,37.7,20.78,2.33,54.79,Werer
2010-06-01,9.67,40.33,29.42,38.6,21.8,1.42,44.06,Werer
2010-07-01,9.67,40.33,26.44,36.98,20.06,6.23,56.9,Werer
2010-08-01,9.67,40.33,24.51,33.03,18.79,8.88,68.78,Werer
2010-09-01,9.67,40.33,24.25,31.48,18.16,6.8,70.31,Werer
2010-10-01,9.67,40.33,25.62,34.31,17.34,0.18,46.43,Werer
2010-11-01,9.67,40.33,23.9,34.12,13.96,0.69,43.35,Werer
2010-12-01,9.67,40.33,22.98,34.04,12.12,0.09,36.94,Werer
2011-01-01,9.67,40.33,24.3,36.22,14.56,0.05,40.65,Werer
2011-02-01,9.67,40.33,25.49,37.52,15.19,0.06,35.27,Werer
2011-03-01,9.67,40.33,25.74,38.49,16.01,1.48,37.34,Werer
2011-04-01,9.67,40.33,28.21,39.21,17.31,2.5,46.9,Werer
2011-05-01,9.67,40.33,28.52,39.07,20.83,2.33,48.8,Werer
2011-06-01,9.67,40.33,29.18,38.44,20.85,0.54,44.13,Werer
2011-07-01,9.67,40.33,27.77,37.73,20.99,2.42,48.79,Werer
2011-08-01,9.67,40.33,27.97,37.59,21.15,2.16,48.73,Werer
2011-09-01,9.67,40.33,28.46,37.79,21.08,1.03,44.58,Werer
2011-10-01,9.67,40.33,27.09,38.25,16.8,0.17,30.64,Werer
2011-11-01,9.67,40.33,25.54,34.73,14.76,0.43,43.18,Werer
2011-12-01,9.67,40.33,22.88,33.69,13.41,0.01,39.22,Werer
2012-01-01,9.67,40.33,24.12,35.33,15.04,0.02,38.46,Werer
2012-02-01,9.67,40.33,24.77,37.96,14.66,0.0,34.41,Werer
2012-03-01,9.67,40.33,27.13,39.39,16.42,0.15,29.32,Werer
2012-04-01,9.67,40.33,27.57,36.97,19.36,2.02,50.09,Werer
2012-05-01,9.67,40.33,29.35,39.16,20.75,0.83,40.96,Werer
2012-06-01,9.67,40.33,29.72,39.67,21.0,1.07,39.74,Werer
2012-07-01,9.67,40.33,26.8,35.69,20.03,4.32,54.32,Werer
2012-08-01,9.67,40.33,25.32,33.23,19.55,6.8,64.05,Werer
2012-09-01,9.67,40.33,25.51,34.16,19.62,3.1,61.93,Werer
2012-10-01,9.67,40.33,25.54,34.92,16.26,0.1,41.61,Werer
2012-11-01,9.67,40.33,25.77,35.41,16.85,0.12,36.61,Werer
2012-12-01,9.67,40.33,24.66,35.21,15.27,0.09,39.63,Werer
2013-01-01,9.67,40.33,24.42,38.17,14.38,0.38,43.62,Werer
2013-02-01,9.67,40.33,25.71,37.86,14.54,0.01,34.18,Werer
2013-03-01,9.67,40.33,27.95,39.06,18.22,1.49,44.89,Werer
2013-04-01,9.67,40.33,26.93,35.82,20.65,3.43,59.63,Werer
2013-05-01,9.67,40.33,28.94,38.31,21.05,0.83,48.34,Werer
2013-06-01,9.67,40.33,29.34,38.38,20.76,1.06,42.42,Werer
2013-07-01,9.67,40.33,25.7,35.83,18.89,8.0,60.73,Werer
2013-08-01,9.67,40.33,24.56,32.03,18.91,6.22,67.88,Werer
2013-09-01,9.67,40.33,25.95,34.81,19.06,3.19,60.12,Werer
2013-10-01,9.67,40.33,25.24,33.93,17.5,1.51,50.8,Werer
2013-11-01,9.67,40.33,23.72,32.73,14.77,2.05,55.02,Werer
2013-12-01,9.67,40.33,22.44,33.03,13.5,0.04,40.67,Werer
2014-01-01,9.67,40.33,24.18,36.01,13.79,0.01,41.25,Werer
2014-02-01,9.67,40.33,26.07,36.99,17.61,0.41,45.06,Werer
2014-03-01,9.67,40.33,27.05,38.6,18.55,1.52,47.47,Werer
2014-04-01,9.67,40.33,27.46,38.3,19.62,2.43,53.55,Werer
2014-05-01,9.67,40.33,28.02,36.78,20.31,1.77,52.6,Werer
2014-06-01,9.67,40.33,29.82,39.56,21.12,0.68,36.96,Werer
2014-07-01,9.67,40.33,27.97,39.15,19.27,4.29,49.31,Werer
2014-08-01,9.67,40.33,26.16,34.96,19.55,4.44,59.54,Werer
2014-09-01,9.67,40.33,25.39,33.15,19.35,5.69,63.36,Werer
2014-10-01,9.67,40.33,24.59,33.88,17.53,1.7,55.18,Werer
2014-11-01,9.67,40.33,24.74,34.77,16.7,0.17,45.4,Werer
2014-12-01,9.67,40.33,23.05,32.85,14.72,0.09,38.72,Werer
2015-01-01,9.67,40.33,22.64,33.57,13.28,0.19,41.12,Werer
2015-02-01,9.67,40.33,26.03,37.51,15.74,0.01,33.04,Werer
2015-03-01,9.67,40.33,27.77,39.3,17.25,0.86,36.16,Werer
