period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,8.53,37.98,15.05,25.59,4.95,0.19,50.84,Woliso
2008-02-01,8.53,37.98,16.79,27.93,6.14,0.07,41.09,Woliso
2008-03-01,8.53,37.98,18.83,30.2,6.37,0.11,24.83,Woliso
2008-04-01,8.53,37.98,17.86,29.08,7.99,2.05,56.63,Woliso
2008-05-01,8.53,37.98,18.33,28.33,10.67,2.28,64.83,Woliso
2008-06-01,8.53,37.98,16.81,26.37,10.88,3.09,75.02,Woliso
2008-07-01,8.53,37.98,15.11,23.03,8.86,9.03,83.89,Woliso
2008-08-01,8.53,37.98,15.27,21.87,9.9,9.29,84.27,Woliso
2008-09-01,8.53,37.98,15.41,22.14,8.26,5.03,81.44,Woliso
2008-10-01,8.53,37.98,14.63,22.6,5.7,1.61,73.13,Woliso
2008-11-01,8.53,37.98,13.07,21.8,2.62,2.46,70.46,Woliso
2008-12-01,8.53,37.98,13.25,23.07,3.74,0.08,61.62,Woliso
2009-01-01,8.53,37.98,14.76,24.61,3.9,1.3,61.74,Woliso
2009-02-01,8.53,37.98,16.57,27.35,7.26,0.17,53.64,Woliso
2009-03-01,8.53,37.98,19.06,30.75,9.8,0.74,48.21,Woliso
2009-04-01,8.53,37.98,18.55,29.69,10.16,1.73,62.38,Woliso
2009-05-01,8.53,37.98,19.36,30.03,9.59,1.35,52.87,Woliso
2009-06-01,8.53,37.98,18.73,29.92,11.19,2.8,64.43,Woliso
2009-07-01,8.53,37.98,15.24,22.82,10.55,6.58,83.13,Woliso
2009-08-01,8.53,37.98,15.74,22.53,9.38,6.55,82.73,Woliso
2009-09-01,8.53,37.98,15.95,22.88,7.67,3.92,77.25,Woliso
2009-10-01,8.53,37.98,14.65,23.01,5.21,3.01,73.9,Woliso
2009-11-01,8.53,37.98,14.24,24.39,4.13,0.14,58.69,Woliso
2009-12-01,8.53,37.98,15.35,24.66,7.34,1.63,72.38,Woliso
2010-01-01,8.53,37.98,16.16,27.02,6.9,0.04,56.46,Woliso
2010-02-01,8.53,37.98,17.29,28.97,10.29,2.76,67.81,Woliso
2010-03-01,8.53,37.98,17.58,26.8,8.55,2.4,63.87,Woliso
2010-04-01,8.53,37.98,18.0,27.75,10.53,4.19,71.02,Woliso
2010-05-01,8.53,37.98,17.97,26.08,11.74,4.52,75.64,Woliso
2010-06-01,8.53,37.98,17.1,25.54,11.47,6.1,78.05,Woliso
2010-07-01,8.53,37.98,15.12,21.86,10.71,8.57,86.11,Woliso
2010-08-01,8.53,37.98,14.88,21.16,10.39,7.23,88.04,Woliso
2010-09-01,8.53,37.98,15.46,22.19,8.61,6.4,84.43,Woliso
2010-10-01,8.53,37.98,14.16,22.06,6.14,0.86,73.27,Woliso
2010-11-01,8.53,37.98,13.34,22.02,3.77,0.61,66.0,Woliso
2010-12-01,8.53,37.98,13.82,23.38,3.3,0.51,60.27,Woliso
2011-01-01,8.53,37.98,15.29,25.78,4.65,0.13,59.94,Woliso
2011-02-01,8.53,37.98,16.95,27.97,5.94,0.35,45.16,Woliso
2011-03-01,8.53,37.98,17.39,28.63,8.76,1.88,50.1,Woliso
2011-04-01,8.53,37.98,18.77,29.19,9.66,1.84,58.2,Woliso
2011-05-01,8.53,37.98,18.1,27.79,11.08,3.61,68.16,Woliso
2011-06-01,8.53,37.98,16.91,25.25,11.35,4.06,77.19,Woliso
2011-07-01,8.53,37.98,15.62,24.61,10.13,4.33,82.05,Woliso
2011-08-01,8.53,37.98,15.12,21.87,9.36,4.02,84.8,Woliso
2011-09-01,8.53,37.98,15.83,23.21,8.46,2.86,80.23,Woliso
2011-10-01,8.53,37.98,15.66,25.87,6.73,0.34,56.63,Woliso
2011-11-01,8.53,37.98,16.38,25.88,5.76,1.01,63.92,Woliso
2011-12-01,8.53,37.98,15.38,26.54,5.22,0.03,47.27,Woliso
2012-01-01,8.53,37.98,16.48,27.87,5.07,0.01,43.1,Woliso
2012-02-01,8.53,37.98,17.4,29.61,7.47,0.0,34.37,Woliso
2012-03-01,8.53,37.98,19.01,30.21,7.88,0.55,35.83,Woliso
2012-04-01,8.53,37.98,18.12,27.71,10.08,3.85,66.07,Woliso
