period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,4.89343,38.0934,21.73,32.69,12.31,0.5,38.72,Yabelo
2008-02-01,4.89343,38.0934,22.81,33.06,13.07,0.03,29.96,Yabelo
2008-03-01,4.89343,38.0934,23.27,33.33,12.94,0.81,40.9,Yabelo
2008-04-01,4.89343,38.0934,21.36,30.93,14.65,2.96,68.06,Yabelo
2008-05-01,4.89343,38.0934,21.33,29.89,14.29,0.44,66.76,Yabelo
2008-06-01,4.89343,38.0934,20.82,30.16,14.19,0.51,60.68,Yabelo
2008-07-01,4.89343,38.0934,19.63,30.47,13.09,1.56,66.34,Yabelo
2008-08-01,4.89343,38.0934,20.34,29.19,13.58,1.08,63.71,Yabelo
2008-09-01,4.89343,38.0934,20.95,30.86,13.86,2.07,63.68,Yabelo
2008-10-01,4.89343,38.0934,20.73,29.4,14.44,2.55,71.76,Yabelo
2008-11-01,4.89343,38.0934,19.28,29.31,10.2,2.88,67.77,Yabelo
2008-12-01,4.89343,38.0934,20.82,31.0,11.51,0.02,44.74,Yabelo
2009-01-01,4.89343,38.0934,21.74,31.77,12.88,0.86,44.36,Yabelo
2009-02-01,4.89343,38.0934,23.09,33.42,13.88,0.1,39.65,Yabelo
2009-03-01,4.89343,38.0934,24.48,34.13,15.04,0.43,40.76,Yabelo
2009-04-01,4.89343,38.0934,21.51,30.84,14.52,2.52,72.02,Yabelo
2009-05-01,4.89343,38.0934,21.12,30.4,13.56,2.37,71.02,Yabelo
2009-06-01,4.89343,38.0934,21.37,30.8,13.62,0.47,63.93,Yabelo
2009-07-01,4.89343,38.0934,20.51,30.21,10.85,0.38,57.49,Yabelo
2009-08-01,4.89343,38.0934,21.3,30.76,13.66,0.27,55.84,Yabelo
2009-09-01,4.89343,38.0934,21.98,31.19,14.08,1.05,55.53,Yabelo
2009-10-01,4.89343,38.0934,20.39,28.93,14.04,3.23,72.62,Yabelo
2009-11-01,4.89343,38.0934,20.76,30.11,11.66,0.76,60.23,Yabelo
2009-12-01,4.89343,38.0934,21.68,30.73,13.59,1.11,58.64,Yabelo
2010-01-01,4.89343,38.0934,21.94,32.24,11.94,0.43,43.9,Yabelo
2010-02-01,4.89343,38.0934,23.31,33.59,15.72,1.38,49.99,Yabelo
2010-03-01,4.89343,38.0934,21.41,31.15,14.31,3.33,68.23,Yabelo
2010-04-01,4.89343,38.0934,21.0,30.52,15.34,4.3,77.27,Yabelo
2010-05-01,4.89343,38.0934,20.71,28.83,14.79,2.21,76.65,Yabelo
2010-06-01,4.89343,38.0934,20.57,29.28,13.5,0.96,69.89,Yabelo
2010-07-01,4.89343,38.0934,19.65,29.65,13.48,0.84,66.12,Yabelo
2010-08-01,4.89343,38.0934,20.03,30.33,13.3,1.29,64.16,Yabelo
2010-09-01,4.89343,38.0934,21.1,30.18,13.53,0.55,57.79,Yabelo
2010-10-01,4.89343,38.0934,21.37,31.21,14.75,1.87,65.41,Yabelo
2010-11-01,4.89343,38.0934,21.41,31.41,12.34,0.53,52.94,Yabelo
2010-12-01,4.89343,38.0934,21.79,31.7,11.57,0.04,36.25,Yabelo
2011-01-01,4.89343,38.0934,22.14,31.83,11.93,0.05,33.88,Yabelo
2011-02-01,4.89343,38.0934,23.05,33.48,13.47,0.31,32.59,Yabelo
2011-03-01,4.89343,38.0934,23.86,33.59,14.74,0.44,38.06,Yabelo
2011-04-01,4.89343,38.0934,23.16,32.78,15.44,1.65,55.87,Yabelo
2011-05-01,4.89343,38.0934,21.26,29.82,14.32,1.95,70.94,Yabelo
2011-06-01,4.89343,38.0934,20.71,29.26,15.2,0.91,68.03,Yabelo
2011-07-01,4.89343,38.0934,21.01,30.23,13.32,0.61,60.38,Yabelo
2011-08-01,4.89343,38.0934,21.2,30.93,14.13,0.22,56.99,Yabelo
2011-09-01,4.89343,38.0934,21.51,30.79,14.71,0.99,59.7,Yabelo
2011-10-01,4.89343,38.0934,20.99,30.85,13.33,2.57,69.2,Yabelo
2011-11-01,4.89343,38.0934,19.77,28.29,12.82,4.78,78.49,Yabelo
2011-12-01,4.89343,38.0934,19.55,30.11,11.32,0.62,60.83,Yabelo
2012-01-01,4.89343,38.0934,21.38,32.68,10.83,0.01,38.54,Yabelo
